,0,1,3
0,Dividend,-,CMPP
1,Dividend (TTM),-,CMPP
2,Payout Ratio (%),-,CMPP
3,Dividend Yield (%),-,CMPP
4,Latest Dividend Ex-Date,-,CMPP
5,Latest Split Factor (From 2008),4.00,CMPP
6,Latest Split Ex-Date,03 Sep 14,CMPP
7,Latest Stock Bonus Factor (From 2008),-,CMPP
8,Latest Stock Bonus Ex-Date,-,CMPP
9,Latest Dividend Bonus Factor (From 2008),-,CMPP
10,Latest Dividend Bonus Ex-Date,-,CMPP
