,0,1,3
0,Dividend,84.00,UNVR
1,Dividend (TTM),150.00,UNVR
2,Payout Ratio (%),99.38%,UNVR
3,Dividend Yield (%),3.14%,UNVR
4,Latest Dividend Ex-Date,24 Jun 22,UNVR
5,Latest Split Factor (From 2008),5.00,UNVR
6,Latest Split Ex-Date,02 Jan 20,UNVR
7,Latest Stock Bonus Factor (From 2008),-,UNVR
8,Latest Stock Bonus Ex-Date,-,UNVR
9,Latest Dividend Bonus Factor (From 2008),-,UNVR
10,Latest Dividend Bonus Ex-Date,-,UNVR
