,0,1,3
0,Dividend,8.00,MNCN
1,Dividend (TTM),8.00,MNCN
2,Payout Ratio (%),6.89%,MNCN
3,Dividend Yield (%),0.85%,MNCN
4,Latest Dividend Ex-Date,09 Sep 21,MNCN
5,Latest Split Factor (From 2008),-,MNCN
6,Latest Split Ex-Date,-,MNCN
7,Latest Stock Bonus Factor (From 2008),-,MNCN
8,Latest Stock Bonus Ex-Date,-,MNCN
9,Latest Dividend Bonus Factor (From 2008),-,MNCN
10,Latest Dividend Bonus Ex-Date,-,MNCN
