,0,1,3
0,Dividend,-,DPUM
1,Dividend (TTM),-,DPUM
2,Payout Ratio (%),-,DPUM
3,Dividend Yield (%),-,DPUM
4,Latest Dividend Ex-Date,-,DPUM
5,Latest Split Factor (From 2008),-,DPUM
6,Latest Split Ex-Date,-,DPUM
7,Latest Stock Bonus Factor (From 2008),-,DPUM
8,Latest Stock Bonus Ex-Date,-,DPUM
9,Latest Dividend Bonus Factor (From 2008),-,DPUM
10,Latest Dividend Bonus Ex-Date,-,DPUM
