,0,1,3
0,Dividend,-,MLIA
1,Dividend (TTM),-,MLIA
2,Payout Ratio (%),-,MLIA
3,Dividend Yield (%),-,MLIA
4,Latest Dividend Ex-Date,-,MLIA
5,Latest Split Factor (From 2008),5.00,MLIA
6,Latest Split Ex-Date,15 Jul 22,MLIA
7,Latest Stock Bonus Factor (From 2008),-,MLIA
8,Latest Stock Bonus Ex-Date,-,MLIA
9,Latest Dividend Bonus Factor (From 2008),-,MLIA
10,Latest Dividend Bonus Ex-Date,-,MLIA
