,0,1,3
0,Dividend,10.00,STAA
1,Dividend (TTM),10.00,STAA
2,Payout Ratio (%),9.28%,STAA
3,Dividend Yield (%),0.78%,STAA
4,Latest Dividend Ex-Date,26 Jul 22,STAA
5,Latest Split Factor (From 2008),-,STAA
6,Latest Split Ex-Date,-,STAA
7,Latest Stock Bonus Factor (From 2008),-,STAA
8,Latest Stock Bonus Ex-Date,-,STAA
9,Latest Dividend Bonus Factor (From 2008),-,STAA
10,Latest Dividend Bonus Ex-Date,-,STAA
