,0,1,3
0,Dividend,-,PLAN
1,Dividend (TTM),-,PLAN
2,Payout Ratio (%),-,PLAN
3,Dividend Yield (%),-,PLAN
4,Latest Dividend Ex-Date,-,PLAN
5,Latest Split Factor (From 2008),-,PLAN
6,Latest Split Ex-Date,-,PLAN
7,Latest Stock Bonus Factor (From 2008),-,PLAN
8,Latest Stock Bonus Ex-Date,-,PLAN
9,Latest Dividend Bonus Factor (From 2008),-,PLAN
10,Latest Dividend Bonus Ex-Date,-,PLAN
