,0,1,3
0,Dividend,66.50,ADRO
1,Dividend (TTM),301.55,ADRO
2,Payout Ratio (%),72.37%,ADRO
3,Dividend Yield (%),9.45%,ADRO
4,Latest Dividend Ex-Date,17 May 22,ADRO
5,Latest Split Factor (From 2008),-,ADRO
6,Latest Split Ex-Date,-,ADRO
7,Latest Stock Bonus Factor (From 2008),-,ADRO
8,Latest Stock Bonus Ex-Date,-,ADRO
9,Latest Dividend Bonus Factor (From 2008),-,ADRO
10,Latest Dividend Bonus Ex-Date,-,ADRO
