,0,1,3
0,Dividend,-,DIVA
1,Dividend (TTM),-,DIVA
2,Payout Ratio (%),-,DIVA
3,Dividend Yield (%),-,DIVA
4,Latest Dividend Ex-Date,-,DIVA
5,Latest Split Factor (From 2008),2.00,DIVA
6,Latest Split Ex-Date,02 Sep 21,DIVA
7,Latest Stock Bonus Factor (From 2008),-,DIVA
8,Latest Stock Bonus Ex-Date,-,DIVA
9,Latest Dividend Bonus Factor (From 2008),-,DIVA
10,Latest Dividend Bonus Ex-Date,-,DIVA
