,0,1,3
0,Dividend,5.70,ASBI
1,Dividend (TTM),5.70,ASBI
2,Payout Ratio (%),12.08%,ASBI
3,Dividend Yield (%),1.66%,ASBI
4,Latest Dividend Ex-Date,19 Jul 22,ASBI
5,Latest Split Factor (From 2008),2.00,ASBI
6,Latest Split Ex-Date,26 Jul 16,ASBI
7,Latest Stock Bonus Factor (From 2008),-,ASBI
8,Latest Stock Bonus Ex-Date,-,ASBI
9,Latest Dividend Bonus Factor (From 2008),-,ASBI
10,Latest Dividend Bonus Ex-Date,-,ASBI
