,0,1,3
0,Dividend,-,KICI
1,Dividend (TTM),-,KICI
2,Payout Ratio (%),-,KICI
3,Dividend Yield (%),-,KICI
4,Latest Dividend Ex-Date,-,KICI
5,Latest Split Factor (From 2008),2.00,KICI
6,Latest Split Ex-Date,23 Aug 16,KICI
7,Latest Stock Bonus Factor (From 2008),-,KICI
8,Latest Stock Bonus Ex-Date,-,KICI
9,Latest Dividend Bonus Factor (From 2008),-,KICI
10,Latest Dividend Bonus Ex-Date,-,KICI
