,0,1,3
0,Dividend,1.16,PPRE
1,Dividend (TTM),0.76,PPRE
2,Payout Ratio (%),13.26%,PPRE
3,Dividend Yield (%),0.48%,PPRE
4,Latest Dividend Ex-Date,18 Jun 21,PPRE
5,Latest Split Factor (From 2008),-,PPRE
6,Latest Split Ex-Date,-,PPRE
7,Latest Stock Bonus Factor (From 2008),-,PPRE
8,Latest Stock Bonus Ex-Date,-,PPRE
9,Latest Dividend Bonus Factor (From 2008),-,PPRE
10,Latest Dividend Bonus Ex-Date,-,PPRE
