"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,3139706,"2022-06-24T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-183PM10000D232------------",9725,0,0,9825,9675,9800,75,2306800,22470542500,2563,796.1,9800,87900,9775,100,1924688333,1924688333,390711732,1834800,920700,"",48,466800,1,NA,NA
"2",2,3139707,"2022-06-24T00:00:00","ABBA","Mahaka Media Tbk.","--U-2100000000E614---L--------",170,0,0,202,170,188,18,117936800,22392243600,10723,415.3,189,135700,188,1794800,3935892857,3935892857,1342926643,19975400,4544200,"",0,0,0,NA,NA
"3",3,3139708,"2022-06-24T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","XDU-2105000000G412-----------X",5900,0,0,0,0,5900,0,0,0,0,1347,5925,600,5525,200,620806680,620806680,78594126,0,0,"",0,0,0,NA,NA
"4",4,3139709,"2022-06-24T00:00:00","ABMM","ABM Investama Tbk.","--M-1115000000C311------------",2360,0,0,2400,2320,2360,0,1411000,3310326000,632,62.9,2370,6900,2360,22000,2753165000,2753165000,568803889,365800,295100,"",0,0,0,NA,NA
"5",5,3139710,"2022-06-24T00:00:00","ACES","Ace Hardware Indonesia Tbk.","XDM-187EMN6000E743------------",770,0,0,810,770,780,10,84189500,66639021500,8706,951.2,785,3400,780,4164200,1.715e+10,1.715e+10,6835990000,50970800,15945900,"",0,0,0,NA,NA
"6",6,3139711,"2022-06-24T00:00:00","ACST","Acset Indonusa Tbk.","--U-1105000000J211------------",166,0,0,170,163,170,4,6752500,1126041100,660,12.6,170,419300,169,93900,12675160000,12675160000,2259981028,1400000,76300,"",0,0,0,NA,NA
"7",7,3139712,"2022-06-24T00:00:00","ADCP","Adhi Commuter Properti Tbk.","--U-1130000000H111------------",78,0,0,81,78,79,1,68580600,5458842800,6925,60.8,80,6927600,79,1027900,22222222200,22222222200,2222222220,0,170900,"",0,0,0,NA,NA
"8",8,3139713,"2022-06-24T00:00:00","ADES","Akasha Wira International Tbk.","--U-2135000000D212------------",7050,0,0,7375,7000,7375,325,326200,2365442500,555,383.1,7400,28300,7375,3400,589896800,589896800,48961434,0,89900,"",0,0,0,NA,NA
"9",9,3139714,"2022-06-24T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1835K52000J211------------",790,0,0,835,790,815,25,51536600,42069754000,8635,640.1,815,737400,810,639500,3560849376,3560849376,1744816194,5185000,2902800,"",0,0,0,NA,NA
"10",10,3139715,"2022-06-24T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-1115200000G211------------",8050,0,0,8125,8000,8100,50,121800,981862500,186,348.4,8100,800,8075,100,1e+09,1e+09,79100000,3000,18900,"",0,0,0,NA,NA
