,No,IDStockSummary,Date,StockCode,StockName,Remarks,Previous,OpenPrice,FirstTrade,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,DelistingDate,NonRegularVolume,NonRegularValue,NonRegularFrequency,persen,percentage
0,1,2684383,2020-01-14T00:00:00,AALI,Astra Agro Lestari Tbk.,--S1K--1,13700.0,0.0,0.0,13900.0,13200.0,13200.0,-500.0,1623200.0,21712682500.0,1854.0,1072.3,13225.0,10600.0,13200.0,6600.0,1924688333.0,1924688333.0,1924688333.0,503500.0,29600.0,,18300.0,250710000.0,1.0,,
1,2,2684384,2020-01-14T00:00:00,ABBA,Mahaka Media Tbk.,--U9---2,102.0,0.0,0.0,104.0,100.0,101.0,-1.0,10317900.0,1043023900.0,574.0,177.2,101.0,23900.0,100.0,4387500.0,2755125000.0,2755125000.0,2755125000.0,0.0,4000.0,,0.0,0.0,0.0,,
2,3,2684385,2020-01-14T00:00:00,ABDA,Asuransi Bina Dana Arta Tbk.,--U8---2,6925.0,0.0,0.0,0.0,0.0,6925.0,0.0,0.0,0.0,0.0,1581.0,6800.0,5000.0,0.0,0.0,620806680.0,620806680.0,620806680.0,0.0,0.0,,0.0,0.0,0.0,,
3,4,2684386,2020-01-14T00:00:00,ABMM,ABM Investama Tbk.,--U9---1,1515.0,0.0,0.0,0.0,0.0,1515.0,0.0,0.0,0.0,0.0,40.4,1495.0,600.0,1220.0,500.0,2753165000.0,2753165000.0,2753165000.0,0.0,0.0,,0.0,0.0,0.0,,
4,5,2684387,2020-01-14T00:00:00,ACES,Ace Hardware Indonesia Tbk.,--S9KB-1,1490.0,0.0,0.0,1590.0,1490.0,1590.0,100.0,61989800.0,96799549000.0,9069.0,1939.0,1590.0,213300.0,1585.0,129400.0,17150000000.0,17150000000.0,17150000000.0,11446300.0,32565100.0,,0.0,0.0,0.0,,
5,6,2684388,2020-01-14T00:00:00,ACST,Acset Indonusa Tbk.,--U6---1,1010.0,0.0,0.0,1010.0,980.0,990.0,-20.0,47800.0,47143000.0,16.0,41.6,990.0,8700.0,980.0,24700.0,700000000.0,700000000.0,700000000.0,13200.0,0.0,,0.0,0.0,0.0,,
6,7,2684389,2020-01-14T00:00:00,ADES,Akasha Wira International Tbk.,--U5---2,1040.0,0.0,0.0,1040.0,1020.0,1040.0,0.0,63000.0,64280500.0,12.0,54.0,1040.0,73400.0,1030.0,200.0,589896800.0,589896800.0,589896800.0,0.0,0.0,,0.0,0.0,0.0,,
7,8,2684390,2020-01-14T00:00:00,ADHI,Adhi Karya (Persero) Tbk.,--U6K--1,1215.0,0.0,0.0,1230.0,1205.0,1205.0,-10.0,6358800.0,7751843500.0,1472.0,946.3,1215.0,329400.0,1205.0,149200.0,3560849376.0,3560849376.0,3560849376.0,657800.0,261300.0,,30.0,36150.0,1.0,,
8,9,2684391,2020-01-14T00:00:00,ADMF,Adira Dinamika Multi Finance Tbk.,--U8---1,10350.0,0.0,0.0,10450.0,10300.0,10425.0,75.0,48400.0,502092500.0,73.0,448.4,10425.0,9700.0,10350.0,100.0,1000000000.0,1000000000.0,1000000000.0,0.0,15600.0,,0.0,0.0,0.0,,
9,10,2684392,2020-01-14T00:00:00,ADMG,Polychem Indonesia Tbk,--U3---1,189.0,0.0,0.0,190.0,187.0,187.0,-2.0,284200.0,53594200.0,43.0,16.7,189.0,28800.0,187.0,144100.0,3889179559.0,3889179559.0,3889179559.0,0.0,0.0,,0.0,0.0,0.0,,
