"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,2935914,"2021-06-10T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3EM00000D232------------",8900,0,0,8975,8800,8925,25,750800,6692305000,663,725,8925,89400,8900,28800,1924688333,1924688333,1924688333,21700,97300,"",0,0,0,NA,NA
"2",2,2935915,"2021-06-10T00:00:00","ABBA","Mahaka Media Tbk.","--U-2100000000E614-E-L--------",226,0,0,236,224,226,0,51884800,11947032600,2693,396.5,228,248300,226,573200,2755125000,2755125000,2755125000,14701700,6907800,"",0,0,0,NA,NA
"3",3,2935916,"2021-06-10T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",7050,0,0,0,0,7050,0,0,0,0,1609.5,7025,100,0,0,620806680,620806680,620806680,0,0,"",0,0,0,NA,NA
"4",4,2935917,"2021-06-10T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",810,0,0,860,800,815,5,116900,94433000,57,21.7,815,8700,805,22100,2753165000,2753165000,2753165000,0,0,"",0,0,0,NA,NA
"5",5,2935918,"2021-06-10T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1U7PMN0000E743M-----------",1415,1420,1425,1445,1415,1415,0,17619800,25009447000,4044,1725.6,1415,31500,1410,735900,1.715e+10,1.715e+10,1.715e+10,9603100,3482600,"",0,0,0,NA,NA
"6",6,2935919,"2021-06-10T00:00:00","ACST","Acset Indonusa Tbk.","--U-1105000000J211------------",240,0,0,250,240,250,10,6018000,1479965400,659,18.5,252,278900,250,1549000,6425160000,6425160000,6425160000,100,864800,"",0,0,0,NA,NA
"7",7,2935920,"2021-06-10T00:00:00","ADES","Akasha Wira International Tbk.","--U-2130000000D212------------",1950,0,0,1965,1925,1925,-25,70500,137728000,67,100,1965,2300,1925,3900,589896800,589896800,589896800,14000,0,"",0,0,0,NA,NA
"8",8,2935921,"2021-06-10T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1135400000J211------------",980,0,0,1010,975,990,10,7795000,7757524000,1587,777.5,990,2747800,985,411100,3560849376,3560849376,3560849376,2282100,1824200,"",0,0,0,NA,NA
"9",9,2935922,"2021-06-10T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",8125,0,0,8325,8125,8275,150,69700,572050000,155,355.9,8275,3500,8225,3300,1e+09,1e+09,1e+09,1800,0,"",0,0,0,NA,NA
"10",10,2935923,"2021-06-10T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",164,0,0,168,162,164,0,1552200,255131000,373,14.6,164,235700,163,39600,3889179559,3889179559,3889179559,0,0,"",0,0,0,NA,NA
"11",11,2935924,"2021-06-10T00:00:00","ADRO","Adaro Energy Tbk.","--MO1XD5U60000A121------------",1215,1230,1230,1240,1210,1210,-5,39268300,47966863000,4130,110,1215,737300,1210,6045400,31985962000,31985962000,31985962000,9478900,11535700,"",3895600,4729258400,4,NA,NA
"12",12,2935925,"2021-06-10T00:00:00","AGAR","Asia Sejahtera Mina Tbk.","--U-2130000000D231------------",404,0,0,432,404,418,14,12200,5113200,25,380,418,8200,392,5100,1e+09,1e+09,1e+09,0,0,"",0,0,0,NA,NA
"13",13,2935926,"2021-06-10T00:00:00","AGII","Aneka Gas Industri Tbk.","--U-1135000000B111------------",1055,0,0,1115,1055,1095,40,7392600,8076856000,1864,99.5,1100,162100,1095,19400,3066660000,3066660000,3066660000,27100,1330900,"",0,0,0,NA,NA
"14",14,2935927,"2021-06-10T00:00:00","AGRO","Bank Rakyat Indonesia Agroniaga Tbk.","--U-1105000000G111------------",1085,0,0,1195,1075,1165,80,317385200,361515763000,31949,1903.3,1170,674500,1165,4802900,21379233779,21379233779,21379233779,12215800,14348400,"",0,0,0,NA,NA
"15",15,2935928,"2021-06-10T00:00:00","AGRS","Bank IBK Indonesia Tbk.","--U-2105000000G111------------",388,0,0,470,362,456,68,5757700,2504725600,1563,566.3,460,29200,456,53200,11154923542,11154923542,18405623844,63400,83700,"",0,0,0,NA,NA
"16",16,2935929,"2021-06-10T00:00:00","AHAP","Asuransi Harta Aman Pratama Tbk.","--U-2100000000G412------------",64,0,0,66,62,65,1,1232700,80268900,241,245.1,66,456700,65,21000,2.94e+09,2.94e+09,2.94e+09,0,0,"",0,0,0,NA,NA
"17",17,2935930,"2021-06-10T00:00:00","AIMS","Akbar Indo Makmur Stimec Tbk","--U-2130000000A121------------",396,0,0,432,370,390,-6,529100,205140400,367,312,396,25000,390,12000,2.2e+08,2.2e+08,2.2e+08,0,0,"",0,0,0,NA,NA
"18",18,2935931,"2021-06-10T00:00:00","AISA","FKS Food Sejahtera Tbk.","--U-1105000000D222------------",236,0,0,240,234,238,2,7520700,1780847000,565,29,240,423100,238,321900,9311800000,9311800000,9311800000,125600,1561200,"",0,0,0,NA,NA
"19",19,2935932,"2021-06-10T00:00:00","AKKU","Anugerah Kagum Karya Utama Tbk.","--U-2130000000E512---L--------",50,0,0,50,50,50,0,7700,385000,8,75.9,50,5700500,0,0,6449463636,6449463636,6449463636,0,0,"",0,0,0,NA,NA
"20",20,2935933,"2021-06-10T00:00:00","AKPI","Argha Karya Prima Industry Tbk.","--U-2130000000B113------------",570,0,0,570,540,565,-5,16900,9529500,27,74.5,565,1800,545,200,6.8e+08,6.8e+08,6.8e+08,0,0,"",0,0,0,NA,NA
"21",21,2935934,"2021-06-10T00:00:00","AKRA","AKR Corporindo Tbk.","--MO1X7XM80000A112------------",3160,3170,3180,3230,3150,3220,60,4532000,14530799000,1540,2566.3,3220,244000,3200,100600,4014694920,4014694920,4014694920,483200,1056500,"",490060,1565722000,3,NA,NA
"22",22,2935935,"2021-06-10T00:00:00","AKSI","Maming Enam Sembilan Mineral Tbk.","--U-2130000000K211------------",505,0,0,535,472,530,25,3700,1803900,13,265,530,85700,525,100,7.2e+08,7.2e+08,7.2e+08,0,0,"",0,0,0,NA,NA
"23",23,2935936,"2021-06-10T00:00:00","ALDO","Alkindo Naratama Tbk.","--U-2130000000B131------------",945,0,0,950,920,925,-20,5217800,4856970000,1077,677.9,930,4000,925,53200,1.1e+09,1.1e+09,1.1e+09,478800,612100,"",0,0,0,NA,NA
"24",24,2935937,"2021-06-10T00:00:00","ALKA","Alakasa Industrindo Tbk","--U-2130000000B141------------",274,0,0,274,258,258,-16,259700,67145200,30,43.4,270,1600,258,1300,507665055,507665055,507665055,247700,0,"",0,0,0,NA,NA
"25",25,2935938,"2021-06-10T00:00:00","ALMI","Alumindo Light Metal Industry Tbk.","--U-2100000000B141-E----------",240,0,0,256,242,242,2,31400,7890800,29,37.2,252,62300,244,5500,6.16e+08,6.16e+08,6.16e+08,0,0,"",0,0,0,NA,NA
"26",26,2935939,"2021-06-10T00:00:00","ALTO","Tri Banyan Tirta Tbk.","--U-1100000000D212------------",384,0,0,384,384,384,0,10400,3993600,3,191.9,382,1000,360,200,2191870558,2191870558,2191870558,0,0,"",0,0,0,NA,NA
"27",27,2935940,"2021-06-10T00:00:00","AMAG","Asuransi Multi Artha Guna Tbk.","--U-2105000000G412------------",332,0,0,352,332,350,18,177100,61342800,65,333.3,350,700,348,100,5001552516,5001552516,5001552516,0,0,"",0,0,0,NA,NA
"28",28,2935941,"2021-06-10T00:00:00","AMAN","Makmur Berkah Amanda Tbk.","--U-1135000000H111------------",284,0,0,284,284,284,0,94900,26951600,15,258.2,286,292000,284,38600,3873500000,3873500000,3873500000,0,0,"",0,0,0,NA,NA
"29",29,2935942,"2021-06-10T00:00:00","AMAR","Bank Amar Indonesia Tbk.","--U-2105000000G111------------",262,0,0,300,260,290,28,21188700,6014596400,1802,166.7,292,35100,290,24800,7954749000,7954749000,7954749000,1e+05,625000,"",0,0,0,NA,NA
"30",30,2935943,"2021-06-10T00:00:00","AMFG","Asahimas Flat Glass Tbk.","--U-1105000000C121------------",4000,0,0,4000,3900,3950,-50,13100,51409000,11,161.2,4000,8100,3950,100,4.34e+08,4.34e+08,4.34e+08,12500,0,"",0,0,0,NA,NA
"31",31,2935944,"2021-06-10T00:00:00","AMIN","Ateliers Mecaniques D Indonesie Tbk.","--U-2130000000C143------------",256,0,0,320,240,240,-16,2411800,755437800,1034,187.5,240,324500,0,0,1.08e+09,1.08e+09,1.08e+09,149500,0,"",0,0,0,NA,NA
"32",32,2935945,"2021-06-10T00:00:00","AMOR","Ashmore Asset Management Indonesia Tbk.","--M-2105000000G311------------",3690,0,0,3900,3700,3720,30,3117400,11735973000,1275,195.8,3740,1700,3720,2100,1111111200,1109269200,1111111200,148700,319100,"",0,0,0,NA,NA
"33",33,2935946,"2021-06-10T00:00:00","AMRT","Sumber Alfaria Trijaya Tbk.","XDM-1105000000D113------------",1115,0,0,1250,1125,1230,115,312973400,375524584500,27808,3138.6,1235,1117500,1230,49500200,41524501700,41524501700,41524501700,97978500,15420700,"",154400000,1.73359e+11,32,NA,NA
"34",34,2935947,"2021-06-10T00:00:00","ANDI","Andira Agro Tbk.","--U-2130000000D232------------",50,0,0,50,50,50,0,19100,955000,17,125,50,6325800,0,0,9.35e+09,9.35e+09,9.35e+09,0,0,"",0,0,0,NA,NA
"35",35,2935948,"2021-06-10T00:00:00","ANJT","Austindo Nusantara Jaya Tbk.","--U-1135000000D232------------",695,0,0,700,660,660,-35,56800,37642500,50,55,660,249900,650,7200,3354175000,3354175000,3354175000,0,600,"",0,0,0,NA,NA
"36",36,2935949,"2021-06-10T00:00:00","ANTM","Aneka Tambang Tbk.","--MO1SDNR50000B146------------",2460,2440,2440,2480,2420,2420,-40,79751900,194658391000,11067,1595.6,2430,920600,2420,10230000,24030764725,24030764725,24030764725,8199300,24384200,"",3255700,7925210100,6,NA,NA
"37",37,2935950,"2021-06-10T00:00:00","APEX","Apexindo Pratama Duta Tbk.","--U-2105000000A131------------",770,0,0,795,765,765,-5,136000,105322000,117,49,770,100,765,41500,2659850000,2659850000,2659850000,0,0,"",0,0,0,NA,NA
"38",38,2935951,"2021-06-10T00:00:00","APIC","Pacific Strategic Financial Tbk.","--M-2815000000G511------------",760,0,0,780,760,775,15,10370300,7962712500,2396,824.3,780,222800,775,3100,11766313488,11766313488,11766313488,68200,201900,"",21200000,1.6112e+10,5,NA,NA
"39",39,2935952,"2021-06-10T00:00:00","APII","Arita Prima Indonesia Tbk.","--U-2130000000C143------------",182,0,0,185,181,185,3,161500,29354600,49,84.1,185,26700,183,10000,1075760000,1075760000,1075760000,0,0,"",0,0,0,NA,NA
"40",40,2935953,"2021-06-10T00:00:00","APLI","Asiaplast Industries Tbk.","--U-1130000000B113------------",196,0,0,200,190,200,4,372300,74125600,31,166.7,202,125800,200,155800,1362671400,1362671400,1362671400,0,0,"",0,0,0,NA,NA
"41",41,2935954,"2021-06-10T00:00:00","APLN","Agung Podomoro Land Tbk.","--M-1805000000H111------------",150,0,0,165,149,154,4,82904800,12991941600,4262,42.2,155,1251000,154,1051400,22699326779,22699326779,22699326779,2282400,1300600,"",8e+05,1.2e+08,1,NA,NA
"42",42,2935955,"2021-06-10T00:00:00","ARGO","Argo Pantes Tbk","--U-2100000000E413-E----------",1950,0,0,1950,1815,1860,-90,6500,12072000,20,46.7,1860,100,0,0,335557450,335557450,335557450,100,0,"",0,0,0,NA,NA
"43",43,2935956,"2021-06-10T00:00:00","ARII","Atlas Resources Tbk.","--U-2130000000A121------------",308,0,0,328,288,294,-14,450400,134071000,226,19.6,294,10700,292,53500,3.131e+09,3.131e+09,3.131e+09,0,0,"",0,0,0,NA,NA
"44",44,2935957,"2021-06-10T00:00:00","ARKA","Arkha Jayanti Persada Tbk.","--U-2100000000C143------------",50,0,0,50,50,50,0,46600,2330000,16,21.2,50,6478300,0,0,2e+09,2e+09,2e+09,0,0,"",0,0,0,NA,NA
"45",45,2935958,"2021-06-10T00:00:00","ARMY","Armidian Karyatama Tbk.","--U-2100000000H111---L---Y----",50,0,0,0,0,50,0,0,0,0,16.7,0,0,0,0,9006250000,9006250000,9006250000,0,0,"",0,0,0,NA,NA
"46",46,2935959,"2021-06-10T00:00:00","ARNA","Arwana Citramulia Tbk.","--M-1135000000C121------------",740,0,0,755,730,755,15,1572000,1177451000,465,5131.5,755,169300,750,8300,7341430976,7341430976,7341430976,21800,768900,"",0,0,0,NA,NA
"47",47,2935960,"2021-06-10T00:00:00","ARTA","Arthavest Tbk","--U-2100000000E512------------",500,0,0,625,510,625,125,286500,175025000,203,362.6,0,0,625,484600,446674175,446674175,446674175,0,0,"",0,0,0,NA,NA
"48",48,2935961,"2021-06-10T00:00:00","ARTI","Ratu Prabu Energi Tbk","--U-1100000000A132-E----------",50,0,0,50,50,50,0,22400,1120000,6,12.3,50,271043300,0,0,7.84e+09,7.84e+09,7.84e+09,0,0,"",1258700,62935000,1,NA,NA
"49",49,2935962,"2021-06-10T00:00:00","ARTO","Bank Jago Tbk.","--U-2100000000G111------------",12600,0,0,12950,12275,12900,300,30836700,388959452500,19625,78438.5,12900,51800,12875,7200,13717687500,13717687500,13717687500,5037000,4692900,"",504700,6359000900,2,NA,NA
"50",50,2935963,"2021-06-10T00:00:00","ASBI","Asuransi Bintang Tbk.","--U-2100000000G412------------",318,0,0,320,296,300,-18,510300,152778600,67,227.7,316,90600,300,362100,348386472,348386472,348386472,0,0,"",0,0,0,NA,NA
"51",51,2935964,"2021-06-10T00:00:00","ASDM","Asuransi Dayin Mitra Tbk.","--U-1100000000G412------------",925,0,0,925,905,905,-20,34800,31657000,25,267.3,920,12000,905,5100,1.92e+08,1.92e+08,1.92e+08,0,0,"",0,0,0,NA,NA
"52",52,2935965,"2021-06-10T00:00:00","ASGR","Astra Graphia Tbk.","--M-1135000000C224------------",765,0,0,770,755,765,0,127200,97032500,62,158.6,770,35800,765,4200,1348780500,1348780500,1348780500,17900,0,"",0,0,0,NA,NA
"53",53,2935966,"2021-06-10T00:00:00","ASII","Astra International Tbk.","--MO1UBACK0000C311------------",5325,5400,5400,5425,5325,5400,75,42924200,231343597500,6514,3861.6,5400,4772400,5375,109300,40483553140,40483553140,40483553140,21485600,36847200,"",50000,261350000,1,NA,NA
"54",54,2935967,"2021-06-10T00:00:00","ASJT","Asuransi Jasa Tania Tbk.","--U-2100000000G412------------",222,0,0,222,218,220,-2,296900,65370600,40,146.7,222,19400,220,57700,6e+08,6e+08,6e+08,0,0,"",0,0,0,NA,NA
"55",55,2935968,"2021-06-10T00:00:00","ASMI","Asuransi Maximus Graha Persada Tbk.","--U-1105000000G412------------",655,0,0,655,655,655,0,3100,2030500,7,1213,655,9500,610,200,8958380460,8958380460,8958380460,0,0,"",0,0,0,NA,NA
"56",56,2935969,"2021-06-10T00:00:00","ASPI","Andalan Sakti Primaindo Tbk.","--U-2100000000H111------------",52,0,0,53,51,53,1,2598400,137121100,148,50.5,53,177000,52,166500,681792805,331797805,681792805,0,0,"",0,0,0,NA,NA
"57",57,2935970,"2021-06-10T00:00:00","ASRI","Alam Sutera Realty Tbk.","--M-1135000000H111------------",182,0,0,190,181,186,4,23456700,4345555100,1804,177.1,187,852900,186,107600,19649411888,19649411888,19649411888,458000,3262900,"",66,12276,1,NA,NA
"58",58,2935971,"2021-06-10T00:00:00","ASRM","Asuransi Ramayana Tbk.","--U-2100000000G412------------",1610,0,0,1610,1600,1610,0,1100,1763000,9,815.7,1610,100,1560,100,304283840,304283840,304283840,0,0,"",0,0,0,NA,NA
"59",59,2935972,"2021-06-10T00:00:00","ASSA","Adi Sarana Armada Tbk.","--M-1815000000K132------------",2450,0,0,2480,2370,2410,-40,16296100,39211590000,4311,617.9,2420,11100,2410,14700,3397500000,3397500000,3397500000,1762800,1870500,"",0,0,0,NA,NA
"60",60,2935973,"2021-06-10T00:00:00","ATAP","Trimitra Prawara Goldland Tbk.","--U-2130000000H111------------",111,0,0,116,111,112,1,410600,46581500,121,112,112,86600,111,46900,1.25e+09,2.5e+08,1.25e+09,0,0,"",0,0,0,NA,NA
"61",61,2935974,"2021-06-10T00:00:00","ATIC","Anabatic Technologies Tbk.","--U-1105000000I121------------",725,0,0,740,725,730,5,9000,6592500,22,104.3,740,5100,730,3600,2315361355,2315361355,2315361355,0,0,"",0,0,0,NA,NA
"62",62,2935975,"2021-06-10T00:00:00","AUTO","Astra Otoparts Tbk.","--M-11A5000000E111------------",1140,0,0,1150,1135,1150,10,306200,350395000,218,1040.1,1155,300,1150,32900,4819733000,4819733000,4819733000,19700,68800,"",0,0,0,NA,NA
"63",63,2935976,"2021-06-10T00:00:00","AYLS","Agro Yasa Lestari Tbk.","--U-2130000000B121------------",90,0,0,99,86,91,1,52727200,4932720700,3849,91,92,410600,91,257800,853423236,853423236,853423236,0,0,"",0,0,0,NA,NA
"64",64,2935977,"2021-06-10T00:00:00","BABP","Bank MNC Internasional Tbk.","--U-2105000000G111------------",410,0,0,0,0,410,0,0,0,0,470.6,0,0,0,0,25087120335,25087120335,25087120335,0,0,"",0,0,0,NA,NA
"65",65,2935978,"2021-06-10T00:00:00","BACA","Bank Capital Indonesia Tbk.","--U-2155000000G111------------",394,0,0,486,394,462,68,475395400,216039135600,33300,340.6,464,2150600,462,13687800,7007620051,7007620051,7007620051,5575000,8291800,"",53300000,25903800000,5,NA,NA
"66",66,2935979,"2021-06-10T00:00:00","BAJA","Saranacentral Bajatama Tbk.","--U-2100000000B144------------",402,0,0,424,400,424,22,11432200,4781398800,2251,169.6,426,156800,424,294000,1.8e+09,1.8e+09,1.8e+09,370300,162800,"",0,0,0,NA,NA
