"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,2866860,"2021-01-22T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3EM2000012--------------",11825,0,0,12100,11525,11650,-175,6150900,72324417500,5954,946.4,11650,91900,11600,2500,1924688333,1924688333,1924688333,772700,696600,"",0,0,0,NA,NA
"2",2,2866861,"2021-01-22T00:00:00","ABBA","Mahaka Media Tbk.","--U-210000000095---E----------",78,0,0,79,73,74,-4,27025900,2038170400,951,129.8,75,1332200,74,324100,2755125000,2755125000,2755125000,0,0,"",0,0,0,NA,NA
"3",3,2866862,"2021-01-22T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-210500000084--------------",5900,0,0,5900,5900,5900,0,16000,94400000,4,1347,5900,20000,0,0,620806680,620806680,620806680,0,0,"",0,0,0,NA,NA
"4",4,2866863,"2021-01-22T00:00:00","ABMM","ABM Investama Tbk.","--U-110500000098--------------",760,0,0,760,715,735,-25,358900,262359500,133,19.6,740,467900,725,10300,2753165000,2753165000,2753165000,0,0,"",0,0,0,NA,NA
"5",5,2866864,"2021-01-22T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1UKPMN000093--------------",1685,1685,1690,1690,1590,1595,-90,38144400,61689783500,8617,1945.1,1595,845800,1590,1568200,1.715e+10,1.715e+10,1.715e+10,24358400,10852000,"",0,0,0,NA,NA
"6",6,2866865,"2021-01-22T00:00:00","ACST","Acset Indonusa Tbk.","--U-110000000062--------------",494,0,0,498,460,460,-34,119536500,56627788200,8228,34,462,117700,460,7113800,6425160000,6425160000,6425160000,14094000,15629400,"",0,0,0,NA,NA
"7",7,2866866,"2021-01-22T00:00:00","ADES","Akasha Wira International Tbk.","--U-213000000051--------------",1880,0,0,1900,1765,1775,-105,480100,863306500,468,92.2,1820,10400,1775,33400,589896800,589896800,589896800,6000,0,"",0,0,0,NA,NA
"8",8,2866867,"2021-01-22T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-183580000062--------------",1815,0,0,1815,1690,1690,-125,72575700,124749845000,10479,1327.2,1690,1714400,0,0,3560849376,3560849376,3560849376,6426800,2874500,"",0,0,0,NA,NA
"9",9,2866868,"2021-01-22T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F00000082--------------",9075,0,0,9150,8950,9000,-75,175000,1581990000,413,387.1,9025,500,9000,1100,1e+09,1e+09,1e+09,13900,14300,"",0,0,0,NA,NA
"10",10,2866869,"2021-01-22T00:00:00","ADMG","Polychem Indonesia Tbk","--U-113000000034--------------",210,0,0,218,196,198,-12,6467800,1296522300,728,17.7,199,124700,198,512100,3889179559,3889179559,3889179559,0,2600,"",0,0,0,NA,NA
"11",11,2866870,"2021-01-22T00:00:00","ADRO","Adaro Energy Tbk.","--MO1XDCU1000021--------------",1410,1410,1410,1420,1345,1350,-60,92579500,126608303000,18014,122.7,1355,286700,1350,1155700,31985962000,31985962000,31985962000,15446400,12869500,"",2048,3205040,2,NA,NA
"12",12,2866871,"2021-01-22T00:00:00","AGAR","Asia Sejahtera Mina Tbk.","--U-213000000091--------------",400,0,0,0,0,400,0,0,0,0,363.6,380,100,378,200,1e+09,1e+09,1e+09,0,0,"",0,0,0,NA,NA
"13",13,2866872,"2021-01-22T00:00:00","AGII","Aneka Gas Industri Tbk.","--M-113500000034--------------",1920,0,0,1980,1830,1855,-65,44607600,84899965000,10687,168.6,1855,533800,1850,185200,3066660000,3066660000,3066660000,5895800,13400,"",74700,149400000,2,NA,NA
"14",14,2866873,"2021-01-22T00:00:00","AGRO","Bank Rakyat Indonesia Agroniaga Tbk.","--M-110500000081--------------",1240,0,0,1300,1155,1155,-85,169074200,199677650500,20938,1887,1155,9293800,0,0,21129857328,21129857328,21129857328,4303900,6262100,"",0,0,0,NA,NA
"15",15,2866874,"2021-01-22T00:00:00","AGRS","Bank IBK Indonesia Tbk.","--U-210500000081--------------",234,0,0,236,218,218,-16,285500,63410200,100,198.2,218,25100,0,0,11154923542,11154923542,11154923542,6700,52100,"",0,0,0,NA,NA
"16",16,2866875,"2021-01-22T00:00:00","AHAP","Asuransi Harta Aman Pratama Tbk.","--U-210000000084--------------",57,0,0,66,56,60,3,308500,18827500,228,226.2,61,100,60,37400,2.94e+09,2.94e+09,2.94e+09,0,0,"",0,0,0,NA,NA
"17",17,2866876,"2021-01-22T00:00:00","AIMS","Akbar Indo Makmur Stimec Tbk","--U-213000000091--------------",156,0,0,149,146,146,-10,52800,7712300,17,116.8,149,100,146,7600,2.2e+08,2.2e+08,2.2e+08,0,0,"",0,0,0,NA,NA
"18",18,2866877,"2021-01-22T00:00:00","AISA","Tiga Pilar Sejahtera Food Tbk.","--U-110000000051---E----------",344,0,0,348,320,324,-20,88979500,28949514000,6070,39.4,324,260900,322,834600,9311800000,9311800000,9311800000,23721000,8723200,"",0,0,0,NA,NA
"19",19,2866878,"2021-01-22T00:00:00","AKKU","Anugerah Kagum Karya Utama Tbk.","--U-213000000094--------------",50,0,0,50,50,50,0,1300,65000,6,75.9,50,3396000,0,0,6449463636,6449463636,6449463636,0,0,"",0,0,0,NA,NA
"20",20,2866879,"2021-01-22T00:00:00","AKPI","Argha Karya Prima Industry Tbk.","--U-213000000035--------------",535,0,0,535,498,498,-37,600,317300,3,65.7,535,2600,498,1500,6.8e+08,6.8e+08,6.8e+08,0,0,"",0,0,0,NA,NA
"21",21,2866880,"2021-01-22T00:00:00","AKRA","AKR Corporindo Tbk.","--MO1X3XM4000091--------------",3290,3290,3290,3300,3100,3130,-160,27337200,86761966000,7216,2494.6,3140,19800,3130,21100,4014694920,4014694920,4014694920,732700,2699800,"",0,0,0,NA,NA
"22",22,2866881,"2021-01-22T00:00:00","AKSI","Maming Enam Sembilan Mineral Tbk.","--U-213000000074--------------",620,0,0,620,590,610,-10,3500,2142000,10,305,610,10400,0,0,7.2e+08,7.2e+08,7.2e+08,0,0,"",0,0,0,NA,NA
"23",23,2866882,"2021-01-22T00:00:00","ALDO","Alkindo Naratama Tbk.","--U-213000000038--------------",456,0,0,480,456,456,0,26700,12235000,26,334.2,456,16600,450,9500,1.1e+09,1.1e+09,1.1e+09,0,0,"",0,0,0,NA,NA
"24",24,2866883,"2021-01-22T00:00:00","ALKA","Alakasa Industrindo Tbk","--U-213000000033--------------",270,0,0,270,254,260,-10,2700,695000,10,43.8,266,1100,260,200,507665055,507665055,507665055,400,0,"",0,0,0,NA,NA
"25",25,2866884,"2021-01-22T00:00:00","ALMI","Alumindo Light Metal Industry Tbk.","--U-210000000033---E----------",268,0,0,270,268,268,0,12400,3323600,21,41.2,270,17500,268,2400,6.16e+08,6.16e+08,6.16e+08,0,0,"",0,0,0,NA,NA
"26",26,2866885,"2021-01-22T00:00:00","ALTO","Tri Banyan Tirta Tbk.","--U-110000000051--------------",316,0,0,316,304,316,0,500,156800,3,157.9,316,800,314,5000,2191870558,2191870558,2191870558,0,0,"",0,0,0,NA,NA
"27",27,2866886,"2021-01-22T00:00:00","AMAG","Asuransi Multi Artha Guna Tbk.","--U-210500000084--------------",234,0,0,234,224,230,-4,76300,17558600,42,219,230,9300,226,10300,5001552516,5001552516,5001552516,0,0,"",0,0,0,NA,NA
"28",28,2866887,"2021-01-22T00:00:00","AMAN","Makmur Berkah Amanda Tbk.","--U-113000000061--------------",324,0,0,324,324,324,0,170200,55144800,14,294.5,326,128500,324,72200,3873500000,3873500000,3873500000,0,0,"",0,0,0,NA,NA
"29",29,2866888,"2021-01-22T00:00:00","AMAR","Bank Amar Indonesia Tbk.","--U-210500000081--------------",250,0,0,254,248,250,0,332100,83975600,40,143.7,250,1e+05,248,150700,7954749000,7954749000,7954749000,70600,0,"",0,0,0,NA,NA
"30",30,2866889,"2021-01-22T00:00:00","AMFG","Asahimas Flat Glass Tbk.","--U-110500000032--------------",3130,0,0,3120,2970,2970,-160,6800,20414000,16,121.2,3110,300,3000,200,4.34e+08,4.34e+08,4.34e+08,0,0,"",0,0,0,NA,NA
"31",31,2866890,"2021-01-22T00:00:00","AMIN","Ateliers Mecaniques D Indonesie Tbk.","--U-213000000041--------------",260,0,0,272,254,272,12,13000,3431400,15,212.5,272,8100,264,300,1.08e+09,1.08e+09,1.08e+09,0,0,"",0,0,0,NA,NA
"32",32,2866891,"2021-01-22T00:00:00","AMOR","Ashmore Asset Management Indonesia Tbk.","--U-210500000083--------------",3290,0,0,3300,3170,3170,-120,304000,981175000,176,166.8,3250,300,3170,40100,1111111200,1109269200,1111111200,94500,31500,"",10000,32480000,1,NA,NA
"33",33,2866892,"2021-01-22T00:00:00","AMRT","Sumber Alfaria Trijaya Tbk.","--M-110500000093--------------",800,0,0,820,790,790,-10,1126700,895387500,218,2015.9,795,100,790,217700,41524501700,41524501700,41524501700,96100,756800,"",0,0,0,NA,NA
"34",34,2866893,"2021-01-22T00:00:00","ANDI","Andira Agro Tbk.","--U-213000000012--------------",53,0,0,54,51,51,-2,22469900,1165466400,622,127.5,52,1668700,51,8193400,9.35e+09,9.35e+09,9.35e+09,700,1e+06,"",0,0,0,NA,NA
"35",35,2866894,"2021-01-22T00:00:00","ANJT","Austindo Nusantara Jaya Tbk.","--U-113500000012--------------",700,0,0,700,655,665,-35,61600,40997000,43,55.4,665,400,655,2400,3354175000,3354175000,3354175000,0,1000,"",0,0,0,NA,NA
"36",36,2866895,"2021-01-22T00:00:00","ANTM","Aneka Tambang Tbk.","--MO1SDWV0000023--------------",3090,3090,3080,3090,2880,2880,-210,894766800,2633530275000,134964,1898.9,2880,106808600,0,0,24030764725,24030764725,24030764725,40042600,45727800,"",17138,52077770,16,NA,NA
"37",37,2866896,"2021-01-22T00:00:00","APEX","Apexindo Pratama Duta Tbk.","--U-210000000022--------------",715,0,0,0,0,715,0,0,0,0,45.8,0,0,0,0,2659850000,2659850000,2659850000,0,0,"",0,0,0,NA,NA
"38",38,2866897,"2021-01-22T00:00:00","APIC","Pacific Strategic Financial Tbk.","--U-210500000089--------------",780,0,0,780,765,780,0,41245200,31939842500,1299,829.6,780,101700,775,167100,11766313488,11766313488,11766313488,191500,169400,"",0,0,0,NA,NA
"39",39,2866898,"2021-01-22T00:00:00","APII","Arita Prima Indonesia Tbk.","--U-213000000091--------------",183,0,0,200,171,195,12,510800,94017600,228,88.6,198,12500,195,41800,1075760000,1075760000,1075760000,60000,0,"",0,0,0,NA,NA
"40",40,2866899,"2021-01-22T00:00:00","APLI","Asiaplast Industries Tbk.","--U-113000000035--------------",190,0,0,190,189,189,-1,600,113900,5,157.5,190,200,189,100,1362671400,1362671400,1362671400,0,0,"",0,0,0,NA,NA
"41",41,2866900,"2021-01-22T00:00:00","APLN","Agung Podomoro Land Tbk.","--M-180550000061--------------",195,0,0,197,185,188,-7,85655500,16265759500,3214,51.5,189,1277500,188,3601500,22699326779,22699326779,22699326779,13139700,13896100,"",0,0,0,NA,NA
"42",42,2866901,"2021-01-22T00:00:00","ARGO","Argo Pantes Tbk","--U-210000000043---E----------",1810,0,0,1805,1690,1710,-100,4600,8170500,10,43,1720,100,1710,8600,335557450,335557450,335557450,0,0,"",0,0,0,NA,NA
"43",43,2866902,"2021-01-22T00:00:00","ARII","Atlas Resources Tbk.","--U-213500000021--------------",248,0,0,248,238,246,-2,59500,14639800,24,16.4,246,122500,240,2000,3e+09,3e+09,3e+09,0,0,"",0,0,0,NA,NA
"44",44,2866903,"2021-01-22T00:00:00","ARKA","Arkha Jayanti Persada Tbk.","--U-210000000041--------------",51,0,0,51,50,50,-1,12957900,648521000,357,21.2,51,1596900,50,1443000,2e+09,2e+09,2e+09,0,3061900,"",0,0,0,NA,NA
"45",45,2866904,"2021-01-22T00:00:00","ARMY","Armidian Karyatama Tbk.","--U-210000000061-----L--------",50,0,0,0,0,50,0,0,0,0,16.7,0,0,0,0,9006250000,9006250000,9006250000,0,0,"",0,0,0,NA,NA
"46",46,2866905,"2021-01-22T00:00:00","ARNA","Arwana Citramulia Tbk.","--M-113500000032--------------",685,0,0,690,675,680,-5,5189400,3528944500,112,4621.8,685,142900,680,22900,7341430976,7341430976,7341430976,4618800,20000,"",0,0,0,NA,NA
"47",47,2866906,"2021-01-22T00:00:00","ARTA","Arthavest Tbk","--U-210000000094--------------",298,0,0,302,278,278,-20,3400,951800,8,161.3,298,2600,0,0,446674175,446674175,446674175,0,0,"",0,0,0,NA,NA
"48",48,2866907,"2021-01-22T00:00:00","ARTI","Ratu Prabu Energi Tbk","--U-110000000022---E----------",50,0,0,50,50,50,0,1900,95000,9,12.3,50,273630700,0,0,7.84e+09,7.84e+09,7.84e+09,0,0,"",4000,8000,1,NA,NA
"49",49,2866908,"2021-01-22T00:00:00","ARTO","Bank Jago Tbk.","--U-210500000081--------------",6200,0,0,6500,6075,6400,200,6528200,41185427500,3610,32254.8,6425,33800,6400,144800,10747687500,10747687500,10747687500,280400,125500,"",30729800,180075846000,7,NA,NA
"50",50,2866909,"2021-01-22T00:00:00","ASBI","Asuransi Bintang Tbk.","--U-210000000084--------------",300,0,0,300,300,300,0,100,30000,1,227.7,300,1500,294,200,348386472,348386472,348386472,0,0,"",0,0,0,NA,NA
"51",51,2866910,"2021-01-22T00:00:00","ASDM","Asuransi Dayin Mitra Tbk.","--U-110000000084--------------",885,0,0,905,900,900,15,12700,11430500,13,265.8,900,600,890,200,1.92e+08,1.92e+08,1.92e+08,0,0,"",0,0,0,NA,NA
