"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,2943264,"2021-06-24T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3EM00000D232------------",7775,0,0,7900,7650,7650,-125,1806500,13944792500,1442,621.5,7675,37000,7650,105400,1924688333,1924688333,1924688333,79300,265800,"",421,3283275,2,NA,NA
"2",2,2943265,"2021-06-24T00:00:00","ABBA","Mahaka Media Tbk.","--U-2100000000E614-E-L--------",236,0,0,238,230,232,-4,23016600,5371641400,2266,407,234,368300,232,1010100,2755125000,2755125000,2755125000,984700,3285500,"",0,0,0,NA,NA
"3",3,2943266,"2021-06-24T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","XDU-2105000000G412------------",7075,0,0,0,0,7075,0,0,0,0,1615.2,7050,1900,0,0,620806680,620806680,620806680,0,0,"",0,0,0,NA,NA
"4",4,2943267,"2021-06-24T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",815,0,0,820,805,810,-5,27100,22024500,50,21.6,810,2600,805,14900,2753165000,2753165000,2753165000,0,0,"",0,0,0,NA,NA
"5",5,2943268,"2021-06-24T00:00:00","ACES","Ace Hardware Indonesia Tbk.","XDMO1U7PMN0000E743M-----------",1340,1345,1350,1350,1315,1330,-10,15280700,20213427000,1882,1622,1330,224600,1325,10200,1.715e+10,1.715e+10,1.715e+10,12567500,13375100,"",0,0,0,NA,NA
"6",6,2943269,"2021-06-24T00:00:00","ACST","Acset Indonusa Tbk.","--U-1105000000J211------------",216,0,0,220,208,210,-6,8359300,1769396800,757,15.5,212,9200,210,27800,6425160000,6425160000,6425160000,336800,773000,"",0,0,0,NA,NA
"7",7,2943270,"2021-06-24T00:00:00","ADES","Akasha Wira International Tbk.","--U-2130000000D212------------",1805,0,0,1860,1780,1850,45,75500,138417000,95,96.1,1850,23200,1820,2000,589896800,589896800,589896800,0,3300,"",0,0,0,NA,NA
"8",8,2943271,"2021-06-24T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1135400000J211------------",845,0,0,855,810,810,-35,19223200,15777962500,2723,636.1,815,9500,810,1036100,3560849376,3560849376,3560849376,3457500,3507900,"",100,86500,1,NA,NA
"9",9,2943272,"2021-06-24T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",8150,0,0,8150,8025,8075,-75,49200,395947500,92,347.3,8100,1000,8050,4400,1e+09,1e+09,1e+09,2600,26200,"",0,0,0,NA,NA
"10",10,2943273,"2021-06-24T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",154,0,0,154,148,152,-2,1178300,177748300,111,13.6,152,9800,151,518100,3889179559,3889179559,3889179559,0,495200,"",0,0,0,NA,NA
"11",11,2943274,"2021-06-24T00:00:00","ADRO","Adaro Energy Tbk.","--MO1XD5U60000A121------------",1260,1260,1265,1270,1225,1245,-15,52732300,65622259500,7547,113.2,1250,587700,1245,97000,31985962000,31985962000,31985962000,9152500,17954000,"",357,448770,4,NA,NA
"12",12,2943275,"2021-06-24T00:00:00","AGAR","Asia Sejahtera Mina Tbk.","--U-2130000000D231------------",474,0,0,474,442,442,-32,14200,6546600,21,401.8,442,6800,0,0,1e+09,1e+09,1e+09,0,0,"",0,0,0,NA,NA
"13",13,2943276,"2021-06-24T00:00:00","AGII","Aneka Gas Industri Tbk.","--U-1135000000B111------------",1340,0,0,1420,1355,1370,30,48638900,67571674000,9211,124.5,1375,66700,1370,1242000,3066660000,3066660000,3066660000,1676300,370500,"",0,0,0,NA,NA
