,No,IDStockSummary,Date,StockCode,StockName,Remarks,Previous,OpenPrice,FirstTrade,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,DelistingDate,NonRegularVolume,NonRegularValue,NonRegularFrequency,persen,percentage
0,1,2814063,2020-10-06T00:00:00,AALI,Astra Agro Lestari Tbk.,CDM-183PM2000012--------------,10475.0,0.0,0.0,10650.0,10375.0,10425.0,-50.0,712300.0,7471162500.0,996.0,846.9,10475.0,15400.0,10425.0,5200.0,1924688333.0,1924688333.0,1924688333.0,241900.0,13900.0,,0.0,0.0,0.0,,
1,2,2814064,2020-10-06T00:00:00,ABBA,Mahaka Media Tbk.,--U-210000000095---E----------,50.0,0.0,0.0,50.0,50.0,50.0,0.0,59800.0,2990000.0,16.0,87.7,50.0,6978300.0,0.0,0.0,2755125000.0,2755125000.0,2755125000.0,0.0,0.0,,0.0,0.0,0.0,,
2,3,2814065,2020-10-06T00:00:00,ABDA,Asuransi Bina Dana Arta Tbk.,--U-210500000084--------------,6575.0,0.0,0.0,0.0,0.0,6575.0,0.0,0.0,0.0,0.0,1501.1,6600.0,800000.0,0.0,0.0,620806680.0,620806680.0,620806680.0,0.0,0.0,,0.0,0.0,0.0,,
3,4,2814066,2020-10-06T00:00:00,ABMM,ABM Investama Tbk.,--U-110500000098--------------,855.0,0.0,0.0,855.0,815.0,855.0,0.0,300.0,252500.0,3.0,22.8,855.0,14200.0,825.0,500.0,2753165000.0,2753165000.0,2753165000.0,0.0,0.0,,0.0,0.0,0.0,,
4,5,2814067,2020-10-06T00:00:00,ACES,Ace Hardware Indonesia Tbk.,--MO1XKEMA000093--------------,1565.0,1580.0,1585.0,1585.0,1545.0,1545.0,-20.0,4514000.0,7024136000.0,2194.0,1884.1,1550.0,1200.0,1545.0,22200.0,17150000000.0,17150000000.0,17150000000.0,3894700.0,2638700.0,,0.0,0.0,0.0,,
5,6,2814068,2020-10-06T00:00:00,ACST,Acset Indonusa Tbk.,--U-113000000062--------------,185.0,0.0,0.0,224.0,182.0,218.0,33.0,491387400.0,103899412000.0,17796.0,16.1,218.0,1401800.0,216.0,3394500.0,6425160000.0,6425160000.0,6425160000.0,1471500.0,1721700.0,,1321300.0,249725700.0,1.0,,
6,7,2814069,2020-10-06T00:00:00,ADES,Akasha Wira International Tbk.,--U-213000000051--------------,1145.0,0.0,0.0,1170.0,1150.0,1170.0,25.0,38900.0,45263500.0,61.0,60.8,1175.0,2000.0,1165.0,2200.0,589896800.0,589896800.0,589896800.0,0.0,0.0,,0.0,0.0,0.0,,
7,8,2814070,2020-10-06T00:00:00,ADHI,Adhi Karya (Persero) Tbk.,--M-18AF80000062--------------,505.0,0.0,0.0,535.0,510.0,525.0,20.0,11640000.0,6097983000.0,1359.0,412.3,530.0,1037500.0,525.0,8700.0,3560849376.0,3560849376.0,3560849376.0,682000.0,79900.0,,0.0,0.0,0.0,,
8,9,2814071,2020-10-06T00:00:00,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F00000082--------------,7200.0,0.0,0.0,7350.0,7250.0,7275.0,75.0,7600.0,55597500.0,42.0,312.9,7325.0,16800.0,7275.0,3200.0,1000000000.0,1000000000.0,1000000000.0,1200.0,0.0,,0.0,0.0,0.0,,
9,10,2814072,2020-10-06T00:00:00,ADMG,Polychem Indonesia Tbk,--U-113000000034--------------,120.0,0.0,0.0,139.0,120.0,125.0,5.0,14212700.0,1841180000.0,1234.0,11.2,126.0,140600.0,125.0,261800.0,3889179559.0,3889179559.0,3889179559.0,2200.0,0.0,,0.0,0.0,0.0,,
