"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"302",302,3000894,"2021-10-06T00:00:00","HRTA","Hartadinata Abadi Tbk.","--M-1135000000E411------------",226,0,0,236,226,232,6,16618400,3847176200,1239,77.3,232,4700,230,39700,4605262400,4605262400,3528552051,148100,4150000,"",0,0,0,NA,NA
"303",303,3000895,"2021-10-06T00:00:00","HRUM","Harum Energy Tbk.","--M-1835FA0000A121------------",8200,0,0,8900,7950,8075,-125,15746200,130545352500,9518,155.3,8100,11300,8075,99600,2703620000,2703620000,2055562286,1328800,2458300,"",0,0,0,NA,NA
"304",304,3000896,"2021-10-06T00:00:00","IATA","Indonesia Transport & Infrastructure Tbk.","--U-2130000000K111------------",50,0,0,50,50,50,0,12100,605000,13,38.5,50,67105000,0,0,10697665114,10697665114,9897479763,0,0,"",0,0,0,NA,NA
"305",305,3000897,"2021-10-06T00:00:00","IBFN","Intan Baruprana Finance Tbk.","--U-2100000000G211-ED--------X",65,0,0,71,63,71,6,3060300,208552500,309,5,0,0,71,332900,1517321249,1517321249,1132832045,0,0,"",75462200,4829580800,1,NA,NA
"306",306,3000898,"2021-10-06T00:00:00","IBST","Inti Bangun Sejahtera Tbk.","--U-1105000000J321------------",5150,0,0,5150,5150,5150,0,100,515000,1,553.9,6175,100,5250,3500,1350904927,1350904927,1041952970,0,0,"",0,0,0,NA,NA
"307",307,3000899,"2021-10-06T00:00:00","ICBP","Indofood CBP Sukses Makmur Tbk.","--MO1XDAF30000D222------------",8825,8825,8825,8900,8700,8850,25,9047000,80094710000,5771,328.1,8875,22100,8850,721600,11661908000,11661908000,8863050080,3462100,3991300,"",826800,7286588400,3,NA,NA
"308",308,3000900,"2021-10-06T00:00:00","ICON","Island Concepts Indonesia Tbk.","--U-2130000000C224------------",100,0,0,102,99,101,1,4004400,402336900,425,193.9,102,440000,101,719500,1089750000,1089750000,862537125,0,0,"",0,0,0,NA,NA
"309",309,3000901,"2021-10-06T00:00:00","IDEA","Idea Indonesia Akademi Tbk.","--U-3000000000E521------------",182,0,0,200,181,200,18,11346700,2201487400,1289,142.9,0,0,200,921800,1062437500,212487500,0,19800,25900,"",0,0,0,NA,NA
"310",310,3000902,"2021-10-06T00:00:00","IDPR","Indonesia Pondasi Raya Tbk.","--U-1130000000J211------------",220,0,0,232,218,224,4,9466400,2143323200,8427,17.5,224,12100,222,66100,2.003e+09,2.003e+09,1481619100,273700,678900,"",0,0,0,NA,NA
"311",311,3000903,"2021-10-06T00:00:00","IFII","Indonesia Fibreboard Industry Tbk.","--U-1135000000B151------------",154,0,0,158,154,157,3,171200,26680600,48,149.5,157,1500,156,2700,9.412e+09,9395110000,7097589200,0,0,"",0,0,0,NA,NA
"312",312,3000904,"2021-10-06T00:00:00","IFSH","Ifishdeco Tbk.","--U-2135000000B146------------",1480,0,0,1565,1480,1550,70,9400,14054500,14,352.3,1545,1300,1390,500,2.125e+09,2.125e+09,1.615e+09,0,0,"",0,0,0,NA,NA
"313",313,3000905,"2021-10-06T00:00:00","IGAR","Champion Pacific Indonesia Tbk.","--U-1130000000B131------------",422,0,0,424,420,422,0,172400,72654400,76,275.8,422,245700,420,38700,972204500,972204500,723611809,0,0,"",0,0,0,NA,NA
