"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,2903748,"2021-04-07T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3EM00000D232------------",10300,0,0,10400,10275,10300,0,327900,3387305000,378,836.7,10325,10700,10300,15100,1924688333,1924688333,1924688333,113000,3100,"",0,0,0,NA,NA
"2",2,2903749,"2021-04-07T00:00:00","ABBA","Mahaka Media Tbk.","--U-2100000000E614-E----------",240,0,0,262,224,224,-16,352040400,84384854800,22326,393,224,7998800,0,0,2755125000,2755125000,2755125000,35772700,15928200,"",250000,62500000,1,NA,NA
"3",3,2903750,"2021-04-07T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",7050,0,0,0,0,7050,0,0,0,0,1609.5,7050,4600,0,0,620806680,620806680,620806680,0,0,"",0,0,0,NA,NA
"4",4,2903751,"2021-04-07T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",780,0,0,780,740,780,0,22700,17341000,32,20.8,780,500,770,1500,2753165000,2753165000,2753165000,0,0,"",0,0,0,NA,NA
"5",5,2903752,"2021-04-07T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1U7PMN0000E743------------",1585,1590,1585,1590,1560,1565,-20,6309900,9903215500,1789,1908.5,1570,12000,1565,150400,1.715e+10,1.715e+10,1.715e+10,4862300,4738800,"",0,0,0,NA,NA
"6",6,2903753,"2021-04-07T00:00:00","ACST","Acset Indonusa Tbk.","--U-1105000000J211------------",312,0,0,318,302,306,-6,8044500,2469587200,1000,22.6,308,1643200,306,115800,6425160000,6425160000,6425160000,1009800,1478600,"",0,0,0,NA,NA
"7",7,2903754,"2021-04-07T00:00:00","ADES","Akasha Wira International Tbk.","--U-2130000000D212------------",1725,0,0,1730,1685,1700,-25,23000,38929500,67,88.3,1700,300,1695,300,589896800,589896800,589896800,0,0,"",0,0,0,NA,NA
"8",8,2903755,"2021-04-07T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1135400000J211------------",1110,0,0,1115,1050,1050,-60,13209700,14131954000,2916,824.6,1055,645300,1050,520400,3560849376,3560849376,3560849376,4656000,863700,"",99,102960,1,NA,NA
"9",9,2903756,"2021-04-07T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",8375,0,0,8400,8275,8325,-50,141100,1175057500,183,358.1,8325,58600,8300,38600,1e+09,1e+09,1e+09,86000,3100,"",0,0,0,NA,NA
"10",10,2903757,"2021-04-07T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",167,0,0,173,165,171,4,1043500,176656600,290,15.3,172,24600,171,7100,3889179559,3889179559,3889179559,0,0,"",0,0,0,NA,NA
"11",11,2903758,"2021-04-07T00:00:00","ADRO","Adaro Energy Tbk.","--MO1XDCU60000A121------------",1210,1210,1210,1225,1200,1220,10,39520700,47984843500,6772,110.9,1225,4444600,1220,310000,31985962000,31985962000,31985962000,3875700,20264800,"",1414560,1574547740,7,NA,NA
"12",12,2903759,"2021-04-07T00:00:00","AGAR","Asia Sejahtera Mina Tbk.","--U-2130000000D231------------",372,0,0,372,362,362,-10,3100,1145800,18,329.1,400,1700,362,700,1e+09,1e+09,1e+09,0,0,"",0,0,0,NA,NA
"13",13,2903760,"2021-04-07T00:00:00","AGII","Aneka Gas Industri Tbk.","--U-1135000000B111------------",1045,0,0,1065,1010,1020,-25,8023200,8226950000,2288,92.7,1020,386300,1015,116300,3066660000,3066660000,3066660000,1015800,1186600,"",0,0,0,NA,NA
"14",14,2903761,"2021-04-07T00:00:00","AGRO","Bank Rakyat Indonesia Agroniaga Tbk.","--U-1105000000G111------------",1070,0,0,1080,1030,1040,-30,50975500,53294095500,7870,1699.1,1045,315900,1040,69300,21201088255,21201088255,21201088255,3945200,2752400,"",20000,21200000,1,NA,NA
"15",15,2903762,"2021-04-07T00:00:00","AGRS","Bank IBK Indonesia Tbk.","--U-2105000000G111------------",324,0,0,386,302,338,14,14313300,4777382400,2124,307.3,338,312600,336,5000,11154923542,11154923542,11154923542,10000,5000,"",0,0,0,NA,NA
"16",16,2903763,"2021-04-07T00:00:00","AHAP","Asuransi Harta Aman Pratama Tbk.","--U-2100000000G412------------",73,0,0,76,72,72,-1,5817100,425218900,371,271.5,72,439000,71,421700,2.94e+09,2.94e+09,2.94e+09,0,0,"",0,0,0,NA,NA
"17",17,2903764,"2021-04-07T00:00:00","AIMS","Akbar Indo Makmur Stimec Tbk","--U-2130000000A121------------",280,0,0,300,262,266,-14,745700,203324400,323,212.8,266,6200,264,15200,2.2e+08,2.2e+08,2.2e+08,0,0,"",0,0,0,NA,NA
"18",18,2903765,"2021-04-07T00:00:00","AISA","FKS Food Sejahtera Tbk.","--U-1105000000D222-E----------",292,0,0,308,290,302,10,69189700,20845709800,3870,36.8,304,2207700,302,2113300,9311800000,9311800000,9311800000,2327600,7743800,"",0,0,0,NA,NA
"19",19,2903766,"2021-04-07T00:00:00","AKKU","Anugerah Kagum Karya Utama Tbk.","--U-2130000000E512------------",50,0,0,50,50,50,0,7900,395000,13,75.9,50,8715700,0,0,6449463636,6449463636,6449463636,0,0,"",0,0,0,NA,NA
"20",20,2903767,"2021-04-07T00:00:00","AKPI","Argha Karya Prima Industry Tbk.","--U-2130000000B113------------",470,0,0,478,450,454,-16,5400,2494800,20,59.9,454,239800,450,100,6.8e+08,6.8e+08,6.8e+08,300,2500,"",0,0,0,NA,NA
"21",21,2903768,"2021-04-07T00:00:00","AKRA","AKR Corporindo Tbk.","--MO1X7XM80000A112------------",3240,3250,3260,3260,3220,3240,0,18927900,61378485000,1787,2582.3,3250,9800,3240,349900,4014694920,4014694920,4014694920,1711900,572700,"",0,0,0,NA,NA
"22",22,2903769,"2021-04-07T00:00:00","AKSI","Maming Enam Sembilan Mineral Tbk.","--U-2130000000K211------------",785,0,0,795,745,745,-40,1500,1126500,10,372.5,795,1100,740,400,7.2e+08,7.2e+08,7.2e+08,0,0,"",0,0,0,NA,NA
"23",23,2903770,"2021-04-07T00:00:00","ALDO","Alkindo Naratama Tbk.","--U-2130000000B131------------",478,0,0,464,462,464,-14,700,323800,5,340.1,478,29500,464,10600,1.1e+09,1.1e+09,1.1e+09,0,0,"",0,0,0,NA,NA
"24",24,2903771,"2021-04-07T00:00:00","ALKA","Alakasa Industrindo Tbk","--U-2130000000B141------------",238,0,0,252,234,238,0,5400,1318400,19,40.1,250,5000,238,11200,507665055,507665055,507665055,0,0,"",0,0,0,NA,NA
"25",25,2903772,"2021-04-07T00:00:00","ALMI","Alumindo Light Metal Industry Tbk.","--U-2100000000B141-E----------",230,0,0,230,230,230,0,800,184000,4,35.4,230,5500,222,8200,6.16e+08,6.16e+08,6.16e+08,0,0,"",0,0,0,NA,NA
"26",26,2903773,"2021-04-07T00:00:00","ALTO","Tri Banyan Tirta Tbk.","--U-1100000000D212------------",358,0,0,366,338,366,8,5700,1998400,10,182.9,366,2000,350,400,2191870558,2191870558,2191870558,0,0,"",0,0,0,NA,NA
"27",27,2903774,"2021-04-07T00:00:00","AMAG","Asuransi Multi Artha Guna Tbk.","--U-2105000000G412------------",262,0,0,276,262,262,0,2471200,657247800,148,249.5,266,500,262,40000,5001552516,5001552516,5001552516,1e+06,3700,"",0,0,0,NA,NA
