,No,IDStockSummary,Date,StockCode,StockName,Remarks,Previous,OpenPrice,FirstTrade,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,DelistingDate,NonRegularVolume,NonRegularValue,NonRegularFrequency,persen,percentage
0,1,2680342,2020-01-08T00:00:00,AALI,Astra Agro Lestari Tbk.,--S1K--1,13400.0,0.0,0.0,13400.0,13200.0,13325.0,-75.0,863000.0,11450497500.0,864.0,1082.5,13350.0,1100.0,13325.0,100.0,1924688333.0,1924688333.0,1924688333.0,42500.0,311400.0,,0.0,0.0,0.0,,
1,2,2680343,2020-01-08T00:00:00,ABBA,Mahaka Media Tbk.,--U9---2,104.0,0.0,0.0,106.0,102.0,103.0,-1.0,8330500.0,857578400.0,692.0,180.7,104.0,1537600.0,103.0,229400.0,2755125000.0,2755125000.0,2755125000.0,0.0,2000.0,,0.0,0.0,0.0,,
2,3,2680344,2020-01-08T00:00:00,ABDA,Asuransi Bina Dana Arta Tbk.,--U8---2,6925.0,0.0,0.0,0.0,0.0,6925.0,0.0,0.0,0.0,0.0,1581.0,6925.0,200.0,5550.0,100.0,620806680.0,620806680.0,620806680.0,0.0,0.0,,0.0,0.0,0.0,,
3,4,2680345,2020-01-08T00:00:00,ABMM,ABM Investama Tbk.,--U9---1,1530.0,0.0,0.0,0.0,0.0,1530.0,0.0,0.0,0.0,0.0,40.8,1500.0,1000.0,1205.0,500.0,2753165000.0,2753165000.0,2753165000.0,0.0,0.0,,0.0,0.0,0.0,,
4,5,2680346,2020-01-08T00:00:00,ACES,Ace Hardware Indonesia Tbk.,--S9KB-1,1440.0,0.0,0.0,1440.0,1395.0,1410.0,-30.0,32211300.0,45228834500.0,5535.0,1719.5,1410.0,2296400.0,1405.0,832500.0,17150000000.0,17150000000.0,17150000000.0,22072800.0,10050800.0,,4241000.0,6026558000.0,2.0,,
5,6,2680347,2020-01-08T00:00:00,ACST,Acset Indonusa Tbk.,--U6---1,1000.0,0.0,0.0,985.0,980.0,985.0,-15.0,4800.0,4710000.0,8.0,41.4,990.0,100.0,980.0,26600.0,700000000.0,700000000.0,700000000.0,0.0,0.0,,0.0,0.0,0.0,,
6,7,2680348,2020-01-08T00:00:00,ADES,Akasha Wira International Tbk.,--U5---2,1065.0,0.0,0.0,1060.0,1030.0,1060.0,-5.0,29800.0,31143000.0,27.0,55.1,1060.0,30600.0,1040.0,2500.0,589896800.0,589896800.0,589896800.0,0.0,0.0,,0.0,0.0,0.0,,
7,8,2680349,2020-01-08T00:00:00,ADHI,Adhi Karya (Persero) Tbk.,--U6K--1,1185.0,0.0,0.0,1185.0,1160.0,1160.0,-25.0,4249300.0,4956336000.0,1244.0,911.0,1165.0,87200.0,1160.0,40600.0,3560849376.0,3560849376.0,3560849376.0,483200.0,52000.0,,3570030.0,3605534800.0,3.0,,
8,9,2680350,2020-01-08T00:00:00,ADMF,Adira Dinamika Multi Finance Tbk.,--U8---1,10300.0,0.0,0.0,10350.0,10200.0,10275.0,-25.0,19900.0,204132500.0,62.0,441.9,10300.0,7800.0,10275.0,100.0,1000000000.0,1000000000.0,1000000000.0,6200.0,0.0,,0.0,0.0,0.0,,
9,10,2680351,2020-01-08T00:00:00,ADMG,Polychem Indonesia Tbk,--U3---1,186.0,0.0,0.0,188.0,186.0,186.0,0.0,143400.0,26725400.0,16.0,16.6,187.0,121900.0,186.0,321500.0,3889179559.0,3889179559.0,3889179559.0,0.0,0.0,,0.0,0.0,0.0,,
