"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,2890687,"2021-03-10T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3EM00000D232------------",11125,0,0,11200,10925,11000,-125,701600,7748217500,1095,893.6,11025,700,11000,2700,1924688333,1924688333,1924688333,38400,68100,"",0,0,0,NA,NA
"2",2,2890688,"2021-03-10T00:00:00","ABBA","Mahaka Media Tbk.","--U-2100000000E614-E----------",115,0,0,155,116,155,40,462652900,66694561800,22794,271.9,0,0,155,34059000,2755125000,2755125000,2755125000,1702800,6141000,"",0,0,0,NA,NA
"3",3,2890689,"2021-03-10T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",7025,0,0,0,0,7025,0,0,0,0,1603.8,7050,2800,0,0,620806680,620806680,620806680,0,0,"",0,0,0,NA,NA
"4",4,2890690,"2021-03-10T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",725,0,0,780,725,755,30,177000,134678500,65,20.1,755,49000,750,180100,2753165000,2753165000,2753165000,0,0,"",0,0,0,NA,NA
"5",5,2890691,"2021-03-10T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1U7PMN0000E743------------",1605,1620,1615,1630,1595,1605,0,23717500,38293296000,6605,1957.3,1610,178900,1605,18600,1.715e+10,1.715e+10,1.715e+10,11444100,12527700,"",1125000,1801125000,1,NA,NA
"6",6,2890692,"2021-03-10T00:00:00","ACST","Acset Indonusa Tbk.","--U-1105000000J211------------",354,0,0,374,354,372,18,38867300,14188572400,3119,27.5,374,905500,372,664200,6425160000,6425160000,6425160000,4239600,4392900,"",0,0,0,NA,NA
"7",7,2890693,"2021-03-10T00:00:00","ADES","Akasha Wira International Tbk.","--U-2130000000D212------------",1680,0,0,1700,1670,1690,10,68400,114663500,73,87.8,1690,17900,1670,3000,589896800,589896800,589896800,0,0,"",0,0,0,NA,NA
"8",8,2890694,"2021-03-10T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1135400000J211------------",1305,0,0,1330,1255,1270,-35,12624300,16230565000,3625,997.4,1270,1216200,1265,253700,3560849376,3560849376,3560849376,992200,777900,"",0,0,0,NA,NA
"9",9,2890695,"2021-03-10T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",8350,0,0,8450,8350,8350,0,267500,2236037500,321,359.1,8350,7600,8325,12600,1e+09,1e+09,1e+09,224600,26700,"",0,0,0,NA,NA
"10",10,2890696,"2021-03-10T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",192,0,0,214,186,188,-4,27892700,5563683500,4113,16.8,189,45000,188,113500,3889179559,3889179559,3889179559,157100,251200,"",0,0,0,NA,NA
"11",11,2890697,"2021-03-10T00:00:00","ADRO","Adaro Energy Tbk.","--MO1XDCU60000A121------------",1165,1175,1175,1185,1160,1170,5,53621900,62945103500,7129,106.4,1175,607600,1170,1343200,31985962000,31985962000,31985962000,10887400,19087600,"",1200000,1286400000,1,NA,NA
