"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,2892137,"2021-03-15T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3EM00000D232------------",11300,0,0,11825,11350,11375,75,3955900,45800547500,3122,924.1,11400,11500,11375,83100,1924688333,1924688333,1924688333,831500,597900,"",0,0,0,NA,NA
"2",2,2892138,"2021-03-15T00:00:00","ABBA","Mahaka Media Tbk.","--U-2100000000E614-E----------",159,0,0,184,152,160,1,163872000,27620535200,11558,280.7,161,274200,160,2828200,2755125000,2755125000,2755125000,2309900,3056500,"",1000,169000,1,NA,NA
"3",3,2892139,"2021-03-15T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",7050,0,0,7050,7050,7050,0,500,3525000,1,1609.5,7050,2000,0,0,620806680,620806680,620806680,0,0,"",0,0,0,NA,NA
"4",4,2892140,"2021-03-15T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",760,0,0,790,745,745,-15,62100,46566500,40,19.9,760,45700,745,19100,2753165000,2753165000,2753165000,0,0,"",0,0,0,NA,NA
"5",5,2892141,"2021-03-15T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1U7PMN0000E743------------",1595,1605,1605,1650,1605,1615,20,17443800,28411638000,4141,1969.5,1615,103100,1610,117100,1.715e+10,1.715e+10,1.715e+10,8260600,11618300,"",0,0,0,NA,NA
"6",6,2892142,"2021-03-15T00:00:00","ACST","Acset Indonusa Tbk.","--U-1105000000J211------------",382,0,0,390,362,368,-14,24347800,9034063000,2730,27.2,370,4592300,368,60200,6425160000,6425160000,6425160000,746100,238500,"",0,0,0,NA,NA
"7",7,2892143,"2021-03-15T00:00:00","ADES","Akasha Wira International Tbk.","--U-2130000000D212------------",1690,0,0,1710,1690,1710,20,401200,683830000,188,88.8,1715,10500,1710,9200,589896800,589896800,589896800,0,0,"",0,0,0,NA,NA
"8",8,2892144,"2021-03-15T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1135400000J211------------",1300,0,0,1350,1305,1315,15,17315600,22805092000,3193,1032.7,1320,41900,1315,263800,3560849376,3560849376,3560849376,1026600,3373400,"",0,0,0,NA,NA
"9",9,2892145,"2021-03-15T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",8350,0,0,8450,8325,8350,0,375300,3134917500,333,359.1,8350,35100,8325,37800,1e+09,1e+09,1e+09,359400,4300,"",0,0,0,NA,NA
"10",10,2892146,"2021-03-15T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",188,0,0,197,186,195,7,5775400,1115373200,1089,17.4,195,10900,194,76500,3889179559,3889179559,3889179559,0,46000,"",0,0,0,NA,NA
"11",11,2892147,"2021-03-15T00:00:00","ADRO","Adaro Energy Tbk.","--MO1XDCU60000A121------------",1210,1225,1225,1260,1220,1235,25,173813000,215526699500,21666,112.3,1240,2068600,1235,1185400,31985962000,31985962000,31985962000,22415300,67706700,"",1488758,1719110180,6,NA,NA
"12",12,2892148,"2021-03-15T00:00:00","AGAR","Asia Sejahtera Mina Tbk.","--U-2130000000D231------------",408,0,0,408,380,408,0,2700,1051600,19,370.9,408,12300,380,44000,1e+09,1e+09,1e+09,0,0,"",0,0,0,NA,NA
