"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,3007370,"2021-10-19T00:00:00","AALI","Astra Agro Lestari Tbk.","XDM-1M3EM00000D232------------",10325,0,0,10350,10125,10175,-150,2110900,21556325000,1788,826.6,10175,103600,10150,171400,1924688333,1924688333,1464495353,106300,293300,"",0,0,0,NA,NA
"2",2,3007371,"2021-10-19T00:00:00","ABBA","Mahaka Media Tbk.","--U-2105000000E614-E----------",412,0,0,430,402,422,10,17999700,7571731000,2040,740.4,422,428900,420,62100,2755125000,2755125000,2139630075,373900,796000,"",0,0,0,NA,NA
"3",3,3007372,"2021-10-19T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",6950,0,0,0,0,6950,0,0,0,0,1586.7,6875,1800,0,0,620806680,620806680,504405428,0,0,"",0,0,0,NA,NA
"4",4,3007373,"2021-10-19T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",1585,0,0,1665,1555,1615,30,28448400,45961602000,1917,43.1,1620,40000,1615,1906800,2753165000,2753165000,2013114248,20098900,1853800,"",0,0,0,NA,NA
"5",5,3007374,"2021-10-19T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1S3PMN0000E743------------",1475,1475,1480,1490,1430,1445,-30,13454600,19510672500,3624,1762.2,1445,356700,1440,244100,1.715e+10,1.715e+10,14056140000,9238300,5930000,"",71300,104311900,1,NA,NA
"6",6,3007375,"2021-10-19T00:00:00","ACST","Acset Indonusa Tbk.","--U-1135000000J211------------",284,0,0,290,284,286,2,14624400,4188844600,1350,21.1,286,906500,284,1022200,12675160000,12675160000,9550733060,943900,3080600,"",0,0,0,NA,NA
"7",7,3007376,"2021-10-19T00:00:00","ADES","Akasha Wira International Tbk.","--U-2135000000D212------------",2550,0,0,2560,2540,2550,0,306100,780585000,126,132.5,2550,7600,2540,103200,589896800,589896800,427616190,202300,1e+05,"",0,0,0,NA,NA
"8",8,3007377,"2021-10-19T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1835V50000J211------------",1190,0,0,1210,1190,1190,0,14910400,17835637000,3444,934.6,1195,933400,1190,1351200,3560849376,3560849376,3016039421,629300,344800,"",23,27485,1,NA,NA
"9",9,3007378,"2021-10-19T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",7950,0,0,8000,7900,7975,25,96400,765450000,177,343,8000,27600,7975,16700,1e+09,1e+09,723800000,0,0,"",0,0,0,NA,NA
"10",10,3007379,"2021-10-19T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",228,0,0,230,224,224,-4,3166300,714569000,602,20,226,26900,224,93100,3889179559,3889179559,2878381792,0,38800,"",0,0,0,NA,NA
