"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,3039898,"2021-12-13T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3PM00000D232------------",9900,0,0,9975,9875,9875,-25,849700,8450267500,910,802.2,9900,100,9875,22500,1924688333,1924688333,1464495353,281100,75900,"",66,594000,1,NA,NA
"2",2,3039899,"2021-12-13T00:00:00","ABBA","Mahaka Media Tbk.","--U-2105000000E614-E-L--------",402,0,0,410,392,394,-8,7701100,3091710400,995,691.2,396,3000,394,279500,2755125000,2755125000,2139630075,832600,1190200,"",0,0,0,NA,NA
"3",3,3039900,"2021-12-13T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",6200,0,0,7425,6000,7175,975,2400,15940000,8,1638.1,7000,9400,6300,1100,620806680,620806680,504405428,0,0,"",0,0,0,NA,NA
"4",4,3039901,"2021-12-13T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",1535,0,0,1555,1525,1530,-5,2448400,3763555500,708,40.8,1535,7100,1530,5600,2753165000,2753165000,2013114248,125900,118100,"",0,0,0,NA,NA
"5",5,3039902,"2021-12-13T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1H3EMN0000E743------------",1245,1250,1250,1290,1245,1280,35,18700600,23800777500,2790,1561,1280,129200,1275,15800,1.715e+10,1.715e+10,14056140000,10205900,6396300,"",9021100,11461797000,3,NA,NA
"6",6,3039903,"2021-12-13T00:00:00","ACST","Acset Indonusa Tbk.","--U-1105000000J211------------",238,0,0,242,234,236,-2,5356000,1267223000,576,17.4,236,51300,234,1063300,12675160000,12675160000,9550733060,79200,250800,"",0,0,0,NA,NA
"7",7,3039904,"2021-12-13T00:00:00","ADES","Akasha Wira International Tbk.","--U-2135000000D212------------",2970,0,0,2970,2930,2930,-40,262000,770376000,203,152.2,2950,1700,2930,16700,589896800,589896800,427616190,0,0,"",0,0,0,NA,NA
"8",8,3039905,"2021-12-13T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1835V50000J211------------",1060,0,0,1070,1050,1060,0,4847600,5138493500,1379,832.5,1060,1558300,1055,125000,3560849376,3560849376,3016039421,529100,196400,"",0,0,0,NA,NA
"9",9,3039906,"2021-12-13T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",7750,0,0,7775,7725,7750,0,48200,373457500,77,333.3,7775,18400,7750,31000,1e+09,1e+09,723800000,0,0,"",0,0,0,NA,NA
"10",10,3039907,"2021-12-13T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",204,0,0,210,204,206,2,743900,153549600,259,18.4,206,21600,204,40400,3889179559,3889179559,2878381792,0,0,"",0,0,0,NA,NA
"11",11,3039908,"2021-12-13T00:00:00","ADRO","Adaro Energy Tbk.","--MO1XD5U60000A121------------",1920,1930,1925,1940,1905,1920,0,165209600,318704143000,8765,174.5,1920,7470500,1915,429100,31985962000,31985962000,26583533018,38898200,17574000,"",9865796,18803834080,4,NA,NA
"12",12,3039909,"2021-12-13T00:00:00","AGAR","Asia Sejahtera Mina Tbk.","--U-2130000000D231------------",326,0,0,342,326,342,16,1300,425400,9,310.9,346,10000,326,2400,1e+09,1e+09,775100000,0,0,"",0,0,0,NA,NA
"13",13,3039910,"2021-12-13T00:00:00","AGII","Aneka Gas Industri Tbk.","--M-1835400000B111------------",1475,0,0,1495,1440,1455,-20,3120200,4559725000,1528,132.3,1460,1000,1455,46300,3066660000,3066660000,2324834946,468100,134200,"",0,0,0,NA,NA
"14",14,3039911,"2021-12-13T00:00:00","AGRO","Bank Raya Indonesia Tbk.","--U-1100000000G111------------",2120,0,0,2150,2060,2080,-40,35566300,74269696000,7962,3465.6,2080,557300,2070,1131500,22524002477,22524002477,16721176385,9473800,3736900,"",5130,10480560,4,NA,NA
"15",15,3039912,"2021-12-13T00:00:00","AGRS","Bank IBK Indonesia Tbk.","--U-2105000000G111------------",185,0,0,200,184,190,5,565067800,108942738700,21020,235.9,190,1151700,189,1592400,17481603282,17481603282,12441657056,11291000,5456200,"",0,0,0,NA,NA
"16",16,3039913,"2021-12-13T00:00:00","AHAP","Asuransi Harta Aman Pratama Tbk.","--U-2100000000G412------------",73,0,0,74,72,73,0,4658300,338443100,732,275.2,73,1471300,72,741300,2.94e+09,2.94e+09,2216466000,0,0,"",0,0,0,NA,NA
"17",17,3039914,"2021-12-13T00:00:00","AIMS","Akbar Indo Makmur Stimec Tbk","--U-2130000000A121------------",436,0,0,444,436,436,0,1317100,577365200,333,348.8,436,600,434,111000,2.2e+08,2.2e+08,165616000,0,0,"",0,0,0,NA,NA
"18",18,3039915,"2021-12-13T00:00:00","AISA","FKS Food Sejahtera Tbk.","--U-1135000000D222------------",204,0,0,212,202,208,4,4499700,930362200,488,25.3,208,160500,206,278600,9311800000,9311800000,7534177380,892500,475400,"",0,0,0,NA,NA
"19",19,3039916,"2021-12-13T00:00:00","AKKU","Anugerah Kagum Karya Utama Tbk.","--U-2130000000E512------------",50,0,0,50,50,50,0,10400,520000,23,75.9,50,7183200,0,0,6449463636,6449463636,5013813031,0,0,"",0,0,0,NA,NA
"20",20,3039917,"2021-12-13T00:00:00","AKPI","Argha Karya Prima Industry Tbk.","--U-2130000000B113------------",1070,0,0,1145,1060,1115,45,293800,322411000,207,147.1,1140,1800,1115,3600,612248000,612248000,436655274,0,30000,"",0,0,0,NA,NA
"21",21,3039918,"2021-12-13T00:00:00","AKRA","AKR Corporindo Tbk.","--MO1HGXM80000A112------------",4290,4290,4300,4320,4250,4250,-40,3405500,14589389000,812,3387.2,4250,25800,4240,16500,4014694920,4014694920,3261136684,191300,471500,"",0,0,0,NA,NA
"22",22,3039919,"2021-12-13T00:00:00","AKSI","Maming Enam Sembilan Mineral Tbk.","--U-2130000000K211------------",402,0,0,404,382,402,0,31400,12531000,44,201,402,2000,398,200,7.2e+08,7.2e+08,521280000,0,0,"",0,0,0,NA,NA
