"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,2919087,"2021-05-04T00:00:00","AALI","Astra Agro Lestari Tbk.","XDM-1M3EM00000D232------------",9425,0,0,9725,9425,9675,250,3141300,30213950000,2346,786,9675,28000,9650,20900,1924688333,1924688333,1924688333,187600,246400,"",0,0,0,NA,NA
"2",2,2919088,"2021-05-04T00:00:00","ABBA","Mahaka Media Tbk.","--U-2100000000E614-E----------",244,0,0,248,228,238,-6,61399000,14603403600,4816,417.5,238,2426200,236,1137300,2755125000,2755125000,2755125000,1384000,1521800,"",0,0,0,NA,NA
"3",3,2919089,"2021-05-04T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",7025,0,0,0,0,7025,0,0,0,0,1603.8,6975,200,0,0,620806680,620806680,620806680,0,0,"",0,0,0,NA,NA
"4",4,2919090,"2021-05-04T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",770,0,0,770,750,770,0,39000,29382000,34,20.5,770,24300,750,7100,2753165000,2753165000,2753165000,0,0,"",0,0,0,NA,NA
"5",5,2919091,"2021-05-04T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1U7PMN0000E743------------",1480,1480,1480,1485,1445,1455,-25,19214300,28099894000,2677,1774.4,1460,101000,1455,305300,1.715e+10,1.715e+10,1.715e+10,7744900,15109800,"",1979289,2881844695,2,NA,NA
"6",6,2919092,"2021-05-04T00:00:00","ACST","Acset Indonusa Tbk.","--U-1105000000J211------------",262,0,0,268,258,266,4,9978700,2621934400,1875,19.6,266,171900,264,59200,6425160000,6425160000,6425160000,722600,1115000,"",0,0,0,NA,NA
"7",7,2919093,"2021-05-04T00:00:00","ADES","Akasha Wira International Tbk.","--U-2130000000D212------------",1690,0,0,1730,1680,1685,-5,77200,131666500,108,87.5,1690,100,1685,200,589896800,589896800,589896800,200,0,"",0,0,0,NA,NA
"8",8,2919094,"2021-05-04T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1135400000J211------------",1150,0,0,1175,1125,1170,20,10082200,11625865000,2205,918.9,1175,347400,1170,113600,3560849376,3560849376,3560849376,598000,107200,"",77600,93120000,1,NA,NA
"9",9,2919095,"2021-05-04T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",8025,0,0,8050,7925,8025,0,195000,1556815000,301,345.2,8025,4400,8000,11100,1e+09,1e+09,1e+09,6800,0,"",0,0,0,NA,NA
"10",10,2919096,"2021-05-04T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",168,0,0,171,168,168,0,1678900,283581100,348,15,168,66900,167,112000,3889179559,3889179559,3889179559,1000,0,"",0,0,0,NA,NA
"11",11,2919097,"2021-05-04T00:00:00","ADRO","Adaro Energy Tbk.","CDMO1XD5U60000A121------------",1240,1240,1240,1255,1235,1250,10,90623400,112664843000,7798,113.6,1255,5848200,1250,1946100,31985962000,31985962000,31985962000,14023200,12897300,"",92,115000,1,NA,NA
"12",12,2919098,"2021-05-04T00:00:00","AGAR","Asia Sejahtera Mina Tbk.","--U-2130000000D231------------",484,0,0,480,452,452,-32,14000,6333600,41,410.9,452,1500,0,0,1e+09,1e+09,1e+09,0,0,"",0,0,0,NA,NA
"13",13,2919099,"2021-05-04T00:00:00","AGII","Aneka Gas Industri Tbk.","--U-1135000000B111------------",1160,0,0,1180,1130,1135,-25,7789800,8975286000,2345,103.2,1135,46600,1130,327600,3066660000,3066660000,3066660000,586500,1219000,"",0,0,0,NA,NA
"14",14,2919100,"2021-05-04T00:00:00","AGRO","Bank Rakyat Indonesia Agroniaga Tbk.","--U-1105000000G111------------",880,0,0,925,880,910,30,61076800,55271573500,6796,1486.7,915,717600,910,1792700,21306390916,21306390916,21306390916,117900,14958800,"",0,0,0,NA,NA
"15",15,2919101,"2021-05-04T00:00:00","AGRS","Bank IBK Indonesia Tbk.","--U-2105000000G111------------",422,0,0,525,432,525,103,14045100,7013125500,2692,477.3,0,0,525,12328900,11154923542,11154923542,11154923542,162400,167400,"",0,0,0,NA,NA
"16",16,2919102,"2021-05-04T00:00:00","AHAP","Asuransi Harta Aman Pratama Tbk.","--U-2100000000G412------------",72,0,0,76,70,71,-1,4054700,293892600,450,267.7,72,360000,71,207400,2.94e+09,2.94e+09,2.94e+09,0,0,"",0,0,0,NA,NA
"17",17,2919103,"2021-05-04T00:00:00","AIMS","Akbar Indo Makmur Stimec Tbk","--U-2130000000A121------------",424,0,0,428,400,414,-10,295600,123157800,196,331.2,414,2000,412,13700,2.2e+08,2.2e+08,2.2e+08,0,0,"",0,0,0,NA,NA
"18",18,2919104,"2021-05-04T00:00:00","AISA","FKS Food Sejahtera Tbk.","--U-1105000000D222------------",286,0,0,288,280,280,-6,18131800,5127087200,1223,34.1,280,239700,278,1719400,9311800000,9311800000,9311800000,1027500,161300,"",0,0,0,NA,NA
"19",19,2919105,"2021-05-04T00:00:00","AKKU","Anugerah Kagum Karya Utama Tbk.","--U-2130000000E512------------",50,0,0,50,50,50,0,23300,1165000,12,75.9,50,7619900,0,0,6449463636,6449463636,6449463636,0,0,"",0,0,0,NA,NA
