"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,2950632,"2021-07-07T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3EM00000D232------------",7875,0,0,7875,7700,7725,-150,1326100,10285247500,1019,627.6,7775,47200,7725,78700,1924688333,1924688333,1924688333,300400,117200,"",500,3925000,2,NA,NA
"2",2,2950633,"2021-07-07T00:00:00","ABBA","Mahaka Media Tbk.","--U-2100000000E614-E-L--------",240,0,0,244,236,238,-2,14058700,3356855600,1034,417.5,240,707100,238,1478800,2755125000,2755125000,2755125000,327900,1967100,"",0,0,0,NA,NA
"3",3,2950634,"2021-07-07T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","XDU-2105000000G412------------",7050,0,0,0,0,7050,0,0,0,0,1609.5,7050,1000,6950,100,620806680,620806680,620806680,0,0,"",0,0,0,NA,NA
"4",4,2950635,"2021-07-07T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311---L--------",790,0,0,820,780,790,0,220100,175134500,63,21.1,815,100,790,40500,2753165000,2753165000,2753165000,200,0,"",0,0,0,NA,NA
"5",5,2950636,"2021-07-07T00:00:00","ACES","Ace Hardware Indonesia Tbk.","XDMO1H7PMN0000E743M-----------",1485,1500,1505,1600,1500,1565,80,42670900,66363278500,9038,1908.5,1570,396400,1565,295500,1.715e+10,1.715e+10,1.715e+10,9996800,25230200,"",3204639,4960627665,3,NA,NA
"6",6,2950637,"2021-07-07T00:00:00","ACST","Acset Indonusa Tbk.","--U-1105000000J211------------",212,0,0,230,212,222,10,21399400,4738347400,2702,16.4,224,534000,222,423400,6425160000,6425160000,6425160000,1106500,1081200,"",0,0,0,NA,NA
"7",7,2950638,"2021-07-07T00:00:00","ADES","Akasha Wira International Tbk.","--U-2130000000D212------------",2440,0,0,2490,2350,2390,-50,166000,398303000,161,124.2,2390,13100,2380,1800,589896800,589896800,589896800,0,0,"",0,0,0,NA,NA
"8",8,2950639,"2021-07-07T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1135400000J211------------",715,0,0,730,700,715,0,24442000,17492021000,2751,561.5,715,408700,710,602800,3560849376,3560849376,3560849376,894800,2698400,"",0,0,0,NA,NA
"9",9,2950640,"2021-07-07T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","CDU-110F000000G211------------",8450,0,0,8475,8325,8400,-50,306400,2571665000,528,361.3,8400,11800,8375,1000,1e+09,1e+09,1e+09,23200,500,"",0,0,0,NA,NA
"10",10,2950641,"2021-07-07T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",188,0,0,212,188,199,11,18635500,3717457700,2804,17.8,199,1500,198,32000,3889179559,3889179559,3889179559,0,1e+06,"",0,0,0,NA,NA
