"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,2892862,"2021-03-16T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3EM00000D232------------",11375,0,0,11575,11175,11200,-175,1297100,14636292500,1294,909.9,11250,3000,11200,13900,1924688333,1924688333,1924688333,498400,187600,"",0,0,0,NA,NA
"2",2,2892863,"2021-03-16T00:00:00","ABBA","Mahaka Media Tbk.","--U-2100000000E614-E----------",160,0,0,175,160,164,4,98815000,16326238900,6628,287.7,165,1392000,164,3679500,2755125000,2755125000,2755125000,1232500,2642500,"",0,0,0,NA,NA
"3",3,2892864,"2021-03-16T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",7050,0,0,7050,7050,7050,0,500,3525000,1,1609.5,7050,1600,0,0,620806680,620806680,620806680,0,0,"",0,0,0,NA,NA
"4",4,2892865,"2021-03-16T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",745,0,0,790,740,760,15,45800,34391500,33,20.3,760,41000,745,20100,2753165000,2753165000,2753165000,0,0,"",0,0,0,NA,NA
"5",5,2892866,"2021-03-16T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1U7PMN0000E743------------",1615,1620,1620,1625,1565,1575,-40,14258600,22637258000,3943,1920.7,1580,86200,1575,122500,1.715e+10,1.715e+10,1.715e+10,5407200,5317400,"",3e+06,4.887e+09,1,NA,NA
"6",6,2892867,"2021-03-16T00:00:00","ACST","Acset Indonusa Tbk.","--U-1105000000J211------------",368,0,0,374,364,366,-2,9416500,3469033000,1180,27,366,9500,364,570200,6425160000,6425160000,6425160000,420000,257000,"",0,0,0,NA,NA
"7",7,2892868,"2021-03-16T00:00:00","ADES","Akasha Wira International Tbk.","--U-2130000000D212------------",1710,0,0,1795,1705,1755,45,232900,406861500,212,91.2,1755,11800,1750,4300,589896800,589896800,589896800,0,0,"",0,0,0,NA,NA
"8",8,2892869,"2021-03-16T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1135400000J211------------",1315,0,0,1335,1280,1285,-30,14777500,19229117500,5463,1009.2,1285,8041700,1280,580600,3560849376,3560849376,3560849376,3556200,1061600,"",0,0,0,NA,NA
"9",9,2892870,"2021-03-16T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",8350,0,0,8400,8325,8350,0,358000,2989305000,237,359.1,8350,2700,8325,64100,1e+09,1e+09,1e+09,333300,154900,"",0,0,0,NA,NA
"10",10,2892871,"2021-03-16T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",195,0,0,214,194,199,4,21389900,4345173300,2794,17.8,200,179300,199,162000,3889179559,3889179559,3889179559,0,0,"",0,0,0,NA,NA
"11",11,2892872,"2021-03-16T00:00:00","ADRO","Adaro Energy Tbk.","--MO1XDCU60000A121------------",1235,1245,1240,1250,1205,1220,-15,99266400,121149223500,12822,110.9,1220,1009000,1215,218100,31985962000,31985962000,31985962000,21506600,28784500,"",583,717920,2,NA,NA
"12",12,2892873,"2021-03-16T00:00:00","AGAR","Asia Sejahtera Mina Tbk.","--U-2130000000D231------------",408,0,0,408,406,406,-2,1500,611600,7,369.1,406,4600,380,1000,1e+09,1e+09,1e+09,0,0,"",0,0,0,NA,NA
"13",13,2892874,"2021-03-16T00:00:00","AGII","Aneka Gas Industri Tbk.","--U-1135000000B111------------",1255,0,0,1275,1250,1265,10,5777600,7281747500,2036,115,1270,104700,1265,426600,3066660000,3066660000,3066660000,46900,343100,"",0,0,0,NA,NA
"14",14,2892875,"2021-03-16T00:00:00","AGRO","Bank Rakyat Indonesia Agroniaga Tbk.","--U-1105000000G111------------",1275,0,0,1380,1275,1335,60,313001600,415137963500,39160,2181.1,1340,986500,1335,223600,21129857328,21129857328,21129857328,4588100,4929300,"",0,0,0,NA,NA
"15",15,2892876,"2021-03-16T00:00:00","AGRS","Bank IBK Indonesia Tbk.","--U-2105000000G111------------",805,0,0,0,0,805,0,0,0,0,731.8,0,0,0,0,11154923542,11154923542,11154923542,0,0,"",0,0,0,NA,NA
"16",16,2892877,"2021-03-16T00:00:00","AHAP","Asuransi Harta Aman Pratama Tbk.","--U-2100000000G412------------",68,0,0,73,67,69,1,4664200,326286800,521,260.2,69,319500,68,193000,2.94e+09,2.94e+09,2.94e+09,0,0,"",0,0,0,NA,NA
"17",17,2892878,"2021-03-16T00:00:00","AIMS","Akbar Indo Makmur Stimec Tbk","--U-2130000000A121------------",214,0,0,202,200,200,-14,39200,7844600,31,160,200,309600,0,0,2.2e+08,2.2e+08,2.2e+08,0,0,"",0,0,0,NA,NA
"18",18,2892879,"2021-03-16T00:00:00","AISA","Tiga Pilar Sejahtera Food Tbk.","--U-1105000000D222-E----------",304,0,0,322,300,316,12,158577100,49554778600,9070,38.5,318,2805600,316,15291400,9311800000,9311800000,9311800000,10595400,9751300,"",0,0,0,NA,NA
"19",19,2892880,"2021-03-16T00:00:00","AKKU","Anugerah Kagum Karya Utama Tbk.","--U-2130000000E512------------",50,0,0,50,50,50,0,18700,935000,11,75.9,50,3569000,0,0,6449463636,6449463636,6449463636,0,0,"",0,0,0,NA,NA
"20",20,2892881,"2021-03-16T00:00:00","AKPI","Argha Karya Prima Industry Tbk.","--U-2130000000B113------------",480,0,0,480,480,480,0,300,144000,3,63.3,480,31100,452,400,6.8e+08,6.8e+08,6.8e+08,300,0,"",0,0,0,NA,NA
"21",21,2892882,"2021-03-16T00:00:00","AKRA","AKR Corporindo Tbk.","--MO1X7XM80000A112------------",3590,3600,3600,3610,3470,3490,-100,13382200,47417134000,4001,2781.5,3500,27000,3490,149600,4014694920,4014694920,4014694920,3794300,806400,"",0,0,0,NA,NA
"22",22,2892883,"2021-03-16T00:00:00","AKSI","Maming Enam Sembilan Mineral Tbk.","--U-2130000000K211------------",775,0,0,775,775,775,0,500,387500,2,387.5,800,8100,775,2200,7.2e+08,7.2e+08,7.2e+08,0,0,"",0,0,0,NA,NA
"23",23,2892884,"2021-03-16T00:00:00","ALDO","Alkindo Naratama Tbk.","--U-2130000000B131------------",450,0,0,482,450,468,18,15500,7117000,28,343,468,32400,466,200,1.1e+09,1.1e+09,1.1e+09,0,0,"",0,0,0,NA,NA
"24",24,2892885,"2021-03-16T00:00:00","ALKA","Alakasa Industrindo Tbk","--U-2130000000B141------------",240,0,0,242,234,234,-6,8900,2112400,16,39.4,240,100,234,2700,507665055,507665055,507665055,0,0,"",0,0,0,NA,NA
"25",25,2892886,"2021-03-16T00:00:00","ALMI","Alumindo Light Metal Industry Tbk.","--U-2100000000B141-E----------",248,0,0,248,244,244,-4,5300,1311200,10,37.5,248,11500,244,300,6.16e+08,6.16e+08,6.16e+08,0,0,"",0,0,0,NA,NA
"26",26,2892887,"2021-03-16T00:00:00","ALTO","Tri Banyan Tirta Tbk.","--U-1100000000D212------------",332,0,0,332,332,332,0,100,33200,1,165.9,332,4100,312,2000,2191870558,2191870558,2191870558,0,0,"",0,0,0,NA,NA
"27",27,2892888,"2021-03-16T00:00:00","AMAG","Asuransi Multi Artha Guna Tbk.","--U-2105000000G412------------",230,0,0,236,230,230,0,65300,15095200,30,219,232,10700,230,4900,5001552516,5001552516,5001552516,0,300,"",0,0,0,NA,NA
"28",28,2892889,"2021-03-16T00:00:00","AMAN","Makmur Berkah Amanda Tbk.","--U-1135000000H111------------",292,0,0,294,292,294,2,84600,24707200,20,267.3,294,891000,292,74200,3873500000,3873500000,3873500000,0,0,"",0,0,0,NA,NA
"29",29,2892890,"2021-03-16T00:00:00","AMAR","Bank Amar Indonesia Tbk.","--U-2105000000G111------------",374,0,0,374,348,348,-26,16923600,5.942e+09,2757,200,348,1217700,0,0,7954749000,7954749000,7954749000,383500,40800,"",0,0,0,NA,NA
"30",30,2892891,"2021-03-16T00:00:00","AMFG","Asahimas Flat Glass Tbk.","--U-1105000000C121------------",3620,0,0,3800,3630,3670,50,130000,478676000,61,149.8,3670,1000,3660,2100,4.34e+08,4.34e+08,4.34e+08,96600,30300,"",0,0,0,NA,NA
"31",31,2892892,"2021-03-16T00:00:00","AMIN","Ateliers Mecaniques D Indonesie Tbk.","--U-2130000000C143------------",244,0,0,244,238,238,-6,4700,1132000,25,185.9,244,19700,238,3000,1.08e+09,1.08e+09,1.08e+09,0,0,"",0,0,0,NA,NA
"32",32,2892893,"2021-03-16T00:00:00","AMOR","Ashmore Asset Management Indonesia Tbk.","XDM-2105000000G311------------",3250,0,0,3270,3250,3250,0,1522200,4958823000,551,171.1,3260,21000,3250,3100,1111111200,1109269200,1111111200,40900,151200,"",0,0,0,NA,NA
"33",33,2892894,"2021-03-16T00:00:00","AMRT","Sumber Alfaria Trijaya Tbk.","--M-1105000000D113------------",980,0,0,1180,960,1015,35,56781400,60132350500,10160,2590,1015,138700,1010,200800,41524501700,41524501700,41524501700,14712500,4709100,"",0,0,0,NA,NA
"34",34,2892895,"2021-03-16T00:00:00","ANDI","Andira Agro Tbk.","--U-2130000000D232------------",50,0,0,59,50,55,5,123048500,6783246700,3482,137.5,56,2719200,55,531300,9.35e+09,9.35e+09,9.35e+09,4038100,0,"",0,0,0,NA,NA
"35",35,2892896,"2021-03-16T00:00:00","ANJT","Austindo Nusantara Jaya Tbk.","--U-1135000000D232------------",720,0,0,720,700,700,-20,42400,30417000,25,58.3,700,800,695,200,3354175000,3354175000,3354175000,0,0,"",0,0,0,NA,NA
"36",36,2892897,"2021-03-16T00:00:00","ANTM","Aneka Tambang Tbk.","--MO1SDNR00000B146------------",2340,2350,2350,2350,2240,2270,-70,231241100,528116329000,41227,1496.7,2270,1492400,2260,2780300,24030764725,24030764725,24030764725,48471300,46148700,"",13032,30044816,3,NA,NA
"37",37,2892898,"2021-03-16T00:00:00","APEX","Apexindo Pratama Duta Tbk.","--U-2105000000A131------------",472,0,0,480,460,478,6,50400,23492200,64,30.6,478,8400,476,100,2659850000,2659850000,2659850000,0,0,"",0,0,0,NA,NA
"38",38,2892899,"2021-03-16T00:00:00","APIC","Pacific Strategic Financial Tbk.","--M-2815000000G511------------",815,0,0,830,810,820,5,10353700,8498221000,1631,872.2,820,67400,815,95100,11766313488,11766313488,11766313488,38700,58200,"",5e+06,4.1e+09,1,NA,NA
"39",39,2892900,"2021-03-16T00:00:00","APII","Arita Prima Indonesia Tbk.","--U-2130000000C143------------",175,0,0,178,175,176,1,154600,27272500,81,80,176,200,175,66300,1075760000,1075760000,1075760000,0,0,"",0,0,0,NA,NA
"40",40,2892901,"2021-03-16T00:00:00","APLI","Asiaplast Industries Tbk.","--U-1130000000B113------------",195,0,0,206,193,200,5,197000,39300500,55,166.7,204,73600,200,20300,1362671400,1362671400,1362671400,0,0,"",0,0,0,NA,NA
"41",41,2892902,"2021-03-16T00:00:00","APLN","Agung Podomoro Land Tbk.","--M-1805000000H111------------",177,0,0,182,176,177,0,25488600,4541087000,1672,48.5,177,1334400,176,1673600,22699326779,22699326779,22699326779,2580400,347800,"",0,0,0,NA,NA
"42",42,2892903,"2021-03-16T00:00:00","ARGO","Argo Pantes Tbk","--U-2100000000E413-E----------",1820,0,0,1820,1700,1800,-20,5300,9292500,14,45.2,1790,2200,1725,1600,335557450,335557450,335557450,0,0,"",0,0,0,NA,NA
"43",43,2892904,"2021-03-16T00:00:00","ARII","Atlas Resources Tbk.","--U-2130000000A121------------",173,0,0,173,170,170,-3,56900,9719500,40,11.3,171,200,170,23100,3e+09,3e+09,3e+09,0,0,"",0,0,0,NA,NA
"44",44,2892905,"2021-03-16T00:00:00","ARKA","Arkha Jayanti Persada Tbk.","--U-2100000000C143------------",50,0,0,51,50,50,0,7101400,355199900,470,21.2,50,1898200,0,0,2e+09,2e+09,2e+09,460200,1e+05,"",0,0,0,NA,NA
"45",45,2892906,"2021-03-16T00:00:00","ARMY","Armidian Karyatama Tbk.","--U-2100000000H111---L---Y----",50,0,0,0,0,50,0,0,0,0,16.7,0,0,0,0,9006250000,9006250000,9006250000,0,0,"",0,0,0,NA,NA
"46",46,2892907,"2021-03-16T00:00:00","ARNA","Arwana Citramulia Tbk.","--M-1135000000C121------------",755,0,0,775,755,755,0,3310900,2517839500,1023,5131.5,760,13700,755,142800,7341430976,7341430976,7341430976,1800900,406400,"",0,0,0,NA,NA
"47",47,2892908,"2021-03-16T00:00:00","ARTA","Arthavest Tbk","--U-2100000000E512------------",286,0,0,320,276,280,-6,189100,53521400,52,162.4,294,1000,280,10000,446674175,446674175,446674175,0,0,"",0,0,0,NA,NA
"48",48,2892909,"2021-03-16T00:00:00","ARTI","Ratu Prabu Energi Tbk","--U-1100000000A132-E----------",50,0,0,50,50,50,0,408100,20405000,17,12.3,50,238113100,0,0,7.84e+09,7.84e+09,7.84e+09,0,0,"",0,0,0,NA,NA
"49",49,2892910,"2021-03-16T00:00:00","ARTO","Bank Jago Tbk.","XRU-2100000000G111------------",10850,0,0,10850,10100,10100,-750,9543100,97296170000,5723,61413.1,10100,1092300,0,0,11483091476,11483091476,13717687500,2422400,485300,"",3,30675,1,NA,NA
"50",50,2892911,"2021-03-16T00:00:00","ASBI","Asuransi Bintang Tbk.","--U-2100000000G412------------",296,0,0,296,294,296,0,2600,764600,3,224.7,296,3616900,294,100,348386472,348386472,348386472,100,0,"",0,0,0,NA,NA
"51",51,2892912,"2021-03-16T00:00:00","ASDM","Asuransi Dayin Mitra Tbk.","--U-1100000000G412------------",905,0,0,0,0,905,0,0,0,0,267.3,900,600,885,1300,1.92e+08,1.92e+08,1.92e+08,0,0,"",0,0,0,NA,NA
"52",52,2892913,"2021-03-16T00:00:00","ASGR","Astra Graphia Tbk.","--M-1135000000C224------------",805,0,0,815,800,805,0,404100,325249000,320,166.9,805,20000,800,135700,1348780500,1348780500,1348780500,0,0,"",0,0,0,NA,NA
"53",53,2892914,"2021-03-16T00:00:00","ASII","Astra International Tbk.","--MO1UBACK0000C311------------",5525,5600,5600,5725,5550,5550,25,64804400,364239565000,14628,3968.9,5575,13200,5550,1074000,40483553140,40483553140,40483553140,40327800,27227700,"",12591104,70762298784,18,NA,NA
"54",54,2892915,"2021-03-16T00:00:00","ASJT","Asuransi Jasa Tania Tbk.","--U-2100000000G412------------",292,0,0,300,280,290,-2,677000,195905000,158,193.3,290,33300,284,1000,6e+08,6e+08,6e+08,0,0,"",0,0,0,NA,NA
"55",55,2892916,"2021-03-16T00:00:00","ASMI","Asuransi Maximus Graha Persada Tbk.","--U-1105000000G412------------",940,0,0,945,915,915,-25,81100,75880000,63,1694.4,935,5100,930,2000,8958380460,8958380460,8958380460,26700,0,"",0,0,0,NA,NA
"56",56,2892917,"2021-03-16T00:00:00","ASPI","Andalan Sakti Primaindo Tbk.","--U-2100000000H111------------",60,0,0,62,58,62,2,3894100,234164500,391,59,62,312000,61,351400,681792805,331797805,681792805,0,0,"",0,0,0,NA,NA
"57",57,2892918,"2021-03-16T00:00:00","ASRI","Alam Sutera Realty Tbk.","--M-1135000000H111------------",248,0,0,252,244,244,-4,42698000,10544285400,3463,232.4,246,2433400,244,4643400,19649411888,19649411888,19649411888,4973600,396500,"",644,159712,2,NA,NA
