,No,IDStockSummary,Date,StockCode,StockName,Remarks,Previous,OpenPrice,FirstTrade,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,DelistingDate,NonRegularVolume,NonRegularValue,NonRegularFrequency,persen,percentage
0,1,2743997,2020-05-15T00:00:00,AALI,Astra Agro Lestari Tbk.,--M1K--1,6100.0,0.0,0.0,6275.0,6050.0,6200.0,100.0,1759500.0,10859032500.0,1381.0,503.7,6225.0,12100.0,6200.0,78600.0,1924688333.0,1924688333.0,1924688333.0,337600.0,636700.0,,0.0,0.0,0.0,,
1,2,2743998,2020-05-15T00:00:00,ABBA,Mahaka Media Tbk.,--U9---2,50.0,0.0,0.0,50.0,50.0,50.0,0.0,101900.0,5095000.0,26.0,87.7,50.0,3814100.0,0.0,0.0,2755125000.0,2755125000.0,2755125000.0,0.0,0.0,,0.0,0.0,0.0,,
2,3,2743999,2020-05-15T00:00:00,ABDA,Asuransi Bina Dana Arta Tbk.,--U8---2,5500.0,0.0,0.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,1255.7,5400.0,1000.0,0.0,0.0,620806680.0,620806680.0,620806680.0,0.0,0.0,,0.0,0.0,0.0,,
3,4,2744000,2020-05-15T00:00:00,ABMM,ABM Investama Tbk.,--U9---1,1525.0,0.0,0.0,0.0,0.0,1525.0,0.0,0.0,0.0,0.0,40.7,1500.0,4900.0,0.0,0.0,2753165000.0,2753165000.0,2753165000.0,0.0,0.0,,0.0,0.0,0.0,,
4,5,2744001,2020-05-15T00:00:00,ACES,Ace Hardware Indonesia Tbk.,--M9B3-1,1305.0,0.0,0.0,1325.0,1250.0,1310.0,5.0,19285400.0,25022986000.0,5262.0,1597.6,1310.0,3432600.0,1305.0,47600.0,17150000000.0,17150000000.0,17150000000.0,14154400.0,11651600.0,,7958340.0,10871656200.0,15.0,,
5,6,2744002,2020-05-15T00:00:00,ACST,Acset Indonusa Tbk.,--U6---1,242.0,0.0,0.0,248.0,232.0,238.0,-4.0,474300.0,112783600.0,112.0,10.0,240.0,5200.0,238.0,35500.0,700000000.0,700000000.0,700000000.0,0.0,0.0,,0.0,0.0,0.0,,
6,7,2744003,2020-05-15T00:00:00,ADES,Akasha Wira International Tbk.,--U5---2,800.0,0.0,0.0,815.0,755.0,815.0,15.0,8300.0,6532000.0,18.0,42.3,815.0,30200.0,790.0,2000.0,589896800.0,589896800.0,589896800.0,0.0,0.0,,0.0,0.0,0.0,,
7,8,2744004,2020-05-15T00:00:00,ADHI,Adhi Karya (Persero) Tbk.,--M6K--1,490.0,0.0,0.0,498.0,484.0,486.0,-4.0,8357700.0,4073886000.0,1368.0,381.7,488.0,84700.0,486.0,75300.0,3560849376.0,3560849376.0,3560849376.0,3448300.0,327200.0,,0.0,0.0,0.0,,
8,9,2744005,2020-05-15T00:00:00,ADMF,Adira Dinamika Multi Finance Tbk.,--U8---1,6350.0,0.0,0.0,6400.0,6225.0,6250.0,-100.0,192300.0,1210057500.0,307.0,268.8,6275.0,1800.0,6250.0,1800.0,1000000000.0,1000000000.0,1000000000.0,31500.0,100000.0,,0.0,0.0,0.0,,
9,10,2744006,2020-05-15T00:00:00,ADMG,Polychem Indonesia Tbk,--U3---1,86.0,0.0,0.0,86.0,81.0,81.0,-5.0,555300.0,46237600.0,80.0,7.2,88.0,1000000.0,81.0,389300.0,3889179559.0,3889179559.0,3889179559.0,280000.0,0.0,,0.0,0.0,0.0,,
