"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,3112079,"2022-04-26T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3PM10000D232------------",12250,0,0,12700,12025,12625,375,4777600,58983185000,4915,1025.6,12625,116200,12600,3100,1924688333,1924688333,390711732,1453700,1833900,"",0,0,0,NA,NA
"2",2,3112080,"2022-04-26T00:00:00","ABBA","Mahaka Media Tbk.","--U-2100000000E614------------",196,0,0,208,188,202,6,36592200,7203795500,2583,446.3,204,1113300,202,15400,3935892857,3935892857,1342926643,2320400,4884500,"",0,0,0,NA,NA
"3",3,3112081,"2022-04-26T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",6275,0,0,0,0,6275,0,0,0,0,1432.6,6425,10100,0,0,620806680,620806680,78594126,0,0,"",0,0,0,NA,NA
"4",4,3112082,"2022-04-26T00:00:00","ABMM","ABM Investama Tbk.","--M-1115000000C311------------",2360,0,0,2380,2290,2360,0,4012300,9382166000,1234,62.9,2360,33500,2350,500,2753165000,2753165000,568803889,359700,1087000,"",0,0,0,NA,NA
"5",5,3112083,"2022-04-26T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--M-187EMN6000E743------------",1050,0,0,1055,1020,1040,-10,19890700,20512921500,4557,1268.3,1040,240900,1035,147900,1.715e+10,1.715e+10,6835990000,5944000,5395200,"",0,0,0,NA,NA
"6",6,3112084,"2022-04-26T00:00:00","ACST","Acset Indonusa Tbk.","--U-1105000000J211------------",174,0,0,179,171,172,-2,7857000,1358555200,569,12.7,173,972800,172,579200,12675160000,12675160000,2259981028,349900,0,"",0,0,0,NA,NA
"7",7,3112085,"2022-04-26T00:00:00","ADCP","Adhi Commuter Properti Tbk.","--U-1130000000H111------------",76,0,0,80,75,78,2,31914300,2466925700,2122,60,78,1380900,77,1073800,22222222200,22222222200,2222222220,797300,5000,"",0,0,0,NA,NA
"8",8,3112086,"2022-04-26T00:00:00","ADES","Akasha Wira International Tbk.","--U-2135000000D212------------",3690,0,0,4230,3670,4150,460,1317700,5331941000,799,215.6,4150,400,4140,100,589896800,589896800,48961434,0,3600,"",0,0,0,NA,NA
"9",9,3112087,"2022-04-26T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1835K52000J211------------",705,0,0,720,700,715,10,7743700,5498932500,1430,561.5,720,744500,715,411500,3560849376,3560849376,1744816194,29500,9300,"",544200,387561000,2,NA,NA
"10",10,3112088,"2022-04-26T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","XDU-1115200000G211------------",8200,0,0,8300,8200,8300,100,203200,1678955000,324,357,8300,38100,8225,77900,1e+09,1e+09,79100000,5300,28800,"",0,0,0,NA,NA
"11",11,3112089,"2022-04-26T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",179,0,0,182,167,177,-2,1595900,276777500,222,15.8,178,400,177,28800,3889179559,3889179559,520372225,0,0,"",0,0,0,NA,NA
"12",12,3112090,"2022-04-26T00:00:00","ADMR","Adaro Minerals Indonesia Tbk.","--U-2135000000A121------------",2340,0,0,2530,2210,2480,140,267288300,636544640000,43032,2480,2480,2058700,2470,165800,40882331500,40882331500,6606584770,60644500,34139300,"",47574000,112274640000,18,NA,NA
"13",13,3112091,"2022-04-26T00:00:00","ADRO","Adaro Energy Indonesia Tbk.","--MO1XD0Q60000A121------------",3210,3220,3230,3250,3080,3160,-50,152153700,478436711000,15436,287.3,3160,1879300,3150,160100,31985962000,31985962000,13981063990,73860300,45062100,"",2199573,6805206800,25,NA,NA
"14",14,3112092,"2022-04-26T00:00:00","AGAR","Asia Sejahtera Mina Tbk.","--U-2130000000D231------------",354,0,0,356,330,332,-22,16000,5346400,34,301.8,342,100,332,1700,1e+09,1e+09,250200000,0,0,"",0,0,0,NA,NA
"15",15,3112093,"2022-04-26T00:00:00","AGII","Aneka Gas Industri Tbk.","--M-1835F20000B111------------",2240,0,0,2370,2210,2300,60,12825700,29462520000,4637,209.1,2300,1125200,2290,74100,3066660000,3066660000,597385368,2465300,893900,"",4500000,1.0125e+10,1,NA,NA
