,No,IDStockSummary,Date,StockCode,StockName,Remarks,Previous,OpenPrice,FirstTrade,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,DelistingDate,NonRegularVolume,NonRegularValue,NonRegularFrequency,persen,percentage
0,1,2721854,2020-03-30T00:00:00,AALI,Astra Agro Lestari Tbk.,--M1K--1,5500.0,0.0,0.0,5500.0,5125.0,5150.0,-350.0,3029300.0,15569960000.0,739.0,418.4,5150.0,199900.0,5125.0,70300.0,1924688333.0,1924688333.0,1924688333.0,1308600.0,205500.0,,85000.0,435625000.0,1.0,,
1,2,2721855,2020-03-30T00:00:00,ABBA,Mahaka Media Tbk.,--U9---2,51.0,0.0,0.0,51.0,50.0,51.0,0.0,6253300.0,313892100.0,285.0,89.5,51.0,614800.0,50.0,2964600.0,2755125000.0,2755125000.0,2755125000.0,0.0,0.0,,0.0,0.0,0.0,,
2,3,2721856,2020-03-30T00:00:00,ABDA,Asuransi Bina Dana Arta Tbk.,--U8---2,5575.0,0.0,0.0,0.0,0.0,5575.0,0.0,0.0,0.0,0.0,1272.8,6650.0,100.0,0.0,0.0,620806680.0,620806680.0,620806680.0,0.0,0.0,,0.0,0.0,0.0,,
3,4,2721857,2020-03-30T00:00:00,ABMM,ABM Investama Tbk.,--U9---1,1450.0,0.0,0.0,1515.0,1450.0,1515.0,65.0,200.0,296500.0,2.0,40.4,1450.0,1400.0,0.0,0.0,2753165000.0,2753165000.0,2753165000.0,0.0,0.0,,0.0,0.0,0.0,,
4,5,2721858,2020-03-30T00:00:00,ACES,Ace Hardware Indonesia Tbk.,--M9B3-1,1310.0,0.0,0.0,1325.0,1230.0,1300.0,-10.0,10121600.0,13025667500.0,3577.0,1585.4,1300.0,740800.0,1295.0,2000.0,17150000000.0,17150000000.0,17150000000.0,6491700.0,7087000.0,,22446888.0,28431768662.0,23.0,,
5,6,2721859,2020-03-30T00:00:00,ACST,Acset Indonusa Tbk.,--U6---1,128.0,0.0,0.0,172.0,120.0,172.0,44.0,21153100.0,3397018200.0,2883.0,7.2,0.0,0.0,172.0,2692100.0,700000000.0,700000000.0,700000000.0,1004800.0,120000.0,,0.0,0.0,0.0,,
6,7,2721860,2020-03-30T00:00:00,ADES,Akasha Wira International Tbk.,--U5---2,725.0,0.0,0.0,700.0,700.0,700.0,-25.0,1800.0,1260000.0,5.0,36.4,710.0,100.0,680.0,500.0,589896800.0,589896800.0,589896800.0,0.0,0.0,,0.0,0.0,0.0,,
7,8,2721861,2020-03-30T00:00:00,ADHI,Adhi Karya (Persero) Tbk.,--M6K--1,560.0,0.0,0.0,550.0,525.0,525.0,-35.0,26850800.0,14362528000.0,1134.0,412.3,525.0,15000.0,0.0,0.0,3560849376.0,3560849376.0,3560849376.0,1023300.0,96400.0,,0.0,0.0,0.0,,
8,9,2721862,2020-03-30T00:00:00,ADMF,Adira Dinamika Multi Finance Tbk.,--U8---1,7375.0,0.0,0.0,7300.0,6875.0,6900.0,-475.0,111100.0,766402500.0,157.0,296.8,6900.0,10600.0,6875.0,1000.0,1000000000.0,1000000000.0,1000000000.0,43400.0,2600.0,,0.0,0.0,0.0,,
9,10,2721863,2020-03-30T00:00:00,ADMG,Polychem Indonesia Tbk,--U3---1,93.0,0.0,0.0,93.0,87.0,87.0,-6.0,331500.0,29329400.0,62.0,7.8,88.0,60100.0,0.0,0.0,3889179559.0,3889179559.0,3889179559.0,106600.0,0.0,,0.0,0.0,0.0,,
