,No,IDStockSummary,Date,StockCode,StockName,Remarks,Previous,OpenPrice,FirstTrade,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,DelistingDate,NonRegularVolume,NonRegularValue,NonRegularFrequency,persen,percentage
0,1,2795615,2020-08-31T00:00:00,AALI,Astra Agro Lestari Tbk.,--M-183PM2000012--------------,10125.0,0.0,0.0,10250.0,9875.0,10175.0,50.0,2773000.0,28009787500.0,1875.0,826.6,10175.0,109000.0,10025.0,6300.0,1924688333.0,1924688333.0,1924688333.0,302700.0,1082200.0,,0.0,0.0,0.0,,
1,2,2795616,2020-08-31T00:00:00,ABBA,Mahaka Media Tbk.,--U-210000000095---E----------,50.0,0.0,0.0,50.0,50.0,50.0,0.0,51100.0,2555000.0,24.0,87.7,50.0,1515200.0,0.0,0.0,2755125000.0,2755125000.0,2755125000.0,0.0,0.0,,9000.0,450000.0,1.0,,
2,3,2795617,2020-08-31T00:00:00,ABDA,Asuransi Bina Dana Arta Tbk.,XDU-210500000084--------------,6900.0,0.0,0.0,0.0,0.0,6900.0,0.0,0.0,0.0,0.0,1575.3,6875.0,1000.0,0.0,0.0,620806680.0,620806680.0,620806680.0,0.0,0.0,,0.0,0.0,0.0,,
3,4,2795618,2020-08-31T00:00:00,ABMM,ABM Investama Tbk.,--U-110500000098--------------,955.0,0.0,0.0,955.0,955.0,955.0,0.0,100.0,95500.0,1.0,25.5,955.0,4200.0,900.0,300.0,2753165000.0,2753165000.0,2753165000.0,0.0,0.0,,0.0,0.0,0.0,,
4,5,2795619,2020-08-31T00:00:00,ACES,Ace Hardware Indonesia Tbk.,XDM-1XKEMA000093--------------,1605.0,0.0,0.0,1620.0,1500.0,1545.0,-60.0,29206500.0,45830949500.0,7539.0,1884.1,1550.0,1500.0,1545.0,492500.0,17150000000.0,17150000000.0,17150000000.0,13937100.0,13784000.0,,3088414.0,4873780630.0,5.0,,
5,6,2795620,2020-08-31T00:00:00,ACST,Acset Indonusa Tbk.,XRU-113000000062--------------,362.0,0.0,0.0,450.0,340.0,348.0,-14.0,51236600.0,20613617000.0,8451.0,25.7,350.0,55000.0,346.0,163300.0,700000000.0,700000000.0,6425160000.0,300000.0,150000.0,,0.0,0.0,0.0,,
6,7,2795621,2020-08-31T00:00:00,ADES,Akasha Wira International Tbk.,--U-213000000051--------------,1300.0,0.0,0.0,1320.0,1225.0,1225.0,-75.0,211000.0,267911000.0,205.0,63.6,1235.0,6100.0,1225.0,1200.0,589896800.0,589896800.0,589896800.0,0.0,0.0,,0.0,0.0,0.0,,
7,8,2795622,2020-08-31T00:00:00,ADHI,Adhi Karya (Persero) Tbk.,--M-18AF80000062--------------,610.0,0.0,0.0,615.0,595.0,595.0,-15.0,13184100.0,7959137000.0,2045.0,467.3,600.0,689200.0,595.0,1404500.0,3560849376.0,3560849376.0,3560849376.0,1222500.0,17600.0,,62.0,37510.0,1.0,,
8,9,2795623,2020-08-31T00:00:00,ADMF,Adira Dinamika Multi Finance Tbk.,--U-110F00000082--------------,7975.0,0.0,0.0,7975.0,7700.0,7700.0,-275.0,227900.0,1782130000.0,432.0,331.2,7725.0,1300.0,7700.0,2400.0,1000000000.0,1000000000.0,1000000000.0,45600.0,2700.0,,0.0,0.0,0.0,,
9,10,2795624,2020-08-31T00:00:00,ADMG,Polychem Indonesia Tbk,--U-113000000034--------------,122.0,0.0,0.0,138.0,118.0,123.0,1.0,17921100.0,2262700400.0,2080.0,11.0,124.0,81700.0,123.0,864400.0,3889179559.0,3889179559.0,3889179559.0,10000.0,10000.0,,0.0,0.0,0.0,,
