"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,3054506,"2022-01-10T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3PM00000D232------------",9950,0,0,10075,9825,9875,-75,2940400,29264767500,2086,802.2,9900,16300,9875,4000,1924688333,1924688333,1004302372,390900,345800,"",0,0,0,NA,NA
"2",2,3054507,"2022-01-10T00:00:00","ABBA","Mahaka Media Tbk.","--U-2105000000E614------------",312,0,0,330,302,312,0,18015400,5659370600,2571,547.4,314,91100,312,409200,2755125000,2755125000,1524410663,3716100,1920000,"",0,0,0,NA,NA
"3",3,3054508,"2022-01-10T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",7750,0,0,9275,7700,7825,75,3400,28277500,19,1786.5,8175,800,7850,100,620806680,620806680,388004175,0,0,"",0,0,0,NA,NA
"4",4,3054509,"2022-01-10T00:00:00","ABMM","ABM Investama Tbk.","--M-1105000000C311------------",1420,0,0,1425,1370,1385,-35,5570600,7709064500,1232,36.9,1390,3000,1385,14600,2753165000,2753165000,1442383144,1565900,190700,"",0,0,0,NA,NA
"5",5,3054510,"2022-01-10T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1H3EMN6000E743------------",1380,1380,1380,1390,1365,1385,5,6833000,9420763000,1550,1689,1385,413500,1380,32000,1.715e+10,1.715e+10,10962280000,2978500,2978300,"",19,26315,1,NA,NA
"6",6,3054511,"2022-01-10T00:00:00","ACST","Acset Indonusa Tbk.","--U-1105000000J211------------",212,0,0,216,208,210,-2,5323400,1122076600,510,15.5,210,271500,208,2416700,12675160000,12675160000,6426306120,650200,193300,"",0,0,0,NA,NA
"7",7,3054512,"2022-01-10T00:00:00","ADES","Akasha Wira International Tbk.","--U-2135000000D212------------",3510,0,0,3720,3510,3620,110,146600,526083000,255,188.1,3620,160300,3600,100,589896800,589896800,265335581,0,0,"",0,0,0,NA,NA
"8",8,3054513,"2022-01-10T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1835V52000J211------------",935,0,0,940,920,925,-10,6853800,6352687500,1328,726.4,925,234800,920,434600,3560849376,3560849376,2471229467,545900,215000,"",0,0,0,NA,NA
"9",9,3054514,"2022-01-10T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-1105000000G211------------",7650,0,0,7700,7625,7650,0,46500,355742500,112,329,7650,20200,7625,20300,1e+09,1e+09,447500000,0,0,"",0,0,0,NA,NA
"10",10,3054515,"2022-01-10T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",199,0,0,199,194,197,-2,2039100,399522500,248,17.6,197,79000,196,25000,3889179559,3889179559,1867972942,0,0,"",0,0,0,NA,NA
