"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,3022459,"2021-11-16T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3PM00000D232------------",10450,0,0,10675,10450,10525,75,1357700,14389440000,1226,855,10575,2500,10525,26400,1924688333,1924688333,1464495353,344500,591500,"",0,0,0,NA,NA
"2",2,3022460,"2021-11-16T00:00:00","ABBA","Mahaka Media Tbk.","--U-2105000000E614-E-L--------",434,0,0,434,416,424,-10,11586000,4915233800,1197,743.9,424,61000,422,38200,2755125000,2755125000,2139630075,466100,342100,"",0,0,0,NA,NA
"3",3,3022461,"2021-11-16T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",6700,0,0,0,0,6700,0,0,0,0,1529.6,6600,500,0,0,620806680,620806680,504405428,0,0,"",0,0,0,NA,NA
"4",4,3022462,"2021-11-16T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",1430,0,0,1455,1390,1400,-30,4912300,7005739000,997,37.3,1405,20000,1400,76000,2753165000,2753165000,2013114248,1134900,76800,"",0,0,0,NA,NA
"5",5,3022463,"2021-11-16T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1S3EMN0000E743------------",1400,1400,1400,1410,1360,1370,-30,16659800,23017384000,4209,1670.7,1375,233900,1370,810100,1.715e+10,1.715e+10,14056140000,4397200,5969700,"",16733823,23492557360,8,NA,NA
"6",6,3022464,"2021-11-16T00:00:00","ACST","Acset Indonusa Tbk.","--U-1135000000J211------------",260,0,0,264,256,258,-2,7827900,2026345600,943,19.1,260,597500,258,298700,12675160000,12675160000,9550733060,813200,192800,"",0,0,0,NA,NA
"7",7,3022465,"2021-11-16T00:00:00","ADES","Akasha Wira International Tbk.","--U-2135000000D212------------",2700,0,0,2790,2650,2730,30,132100,358390000,192,141.8,2730,500,2710,1800,589896800,589896800,427616190,5000,29300,"",0,0,0,NA,NA
"8",8,3022466,"2021-11-16T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1835V50000J211------------",1090,0,0,1110,1080,1095,5,11623700,12741424000,2054,859.9,1100,916600,1095,218400,3560849376,3560849376,3016039421,698200,567000,"",7306000,8000070000,1,NA,NA
"9",9,3022467,"2021-11-16T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",7800,0,0,7875,7800,7825,25,44400,347502500,83,336.6,7850,30000,7800,21400,1e+09,1e+09,723800000,0,0,"",0,0,0,NA,NA
"10",10,3022468,"2021-11-16T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",224,0,0,226,220,222,-2,932500,207489200,320,19.8,222,53900,220,841700,3889179559,3889179559,2878381792,60200,8000,"",0,0,0,NA,NA
"11",11,3022469,"2021-11-16T00:00:00","ADRO","Adaro Energy Tbk.","--MO1XD5U60000A121------------",1610,1580,1585,1630,1580,1615,5,46592500,75165751500,6563,146.8,1615,958300,1610,3024200,31985962000,31985962000,26583533018,23987500,13447600,"",23,15870,1,NA,NA
"12",12,3022470,"2021-11-16T00:00:00","AGAR","Asia Sejahtera Mina Tbk.","--U-2130000000D231------------",346,0,0,350,346,348,2,7200,2499400,17,316.4,348,4900,344,100,1e+09,1e+09,775100000,0,0,"",0,0,0,NA,NA
"13",13,3022471,"2021-11-16T00:00:00","AGII","Aneka Gas Industri Tbk.","--M-1835400000B111------------",1410,0,0,1420,1385,1395,-15,3735800,5232982500,1235,126.8,1400,61900,1395,154200,3066660000,3066660000,2324834946,172400,93400,"",0,0,0,NA,NA
