"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,3028500,"2021-11-23T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3PM00000D232------------",10325,0,0,10425,10300,10350,25,597800,6193332500,852,840.8,10350,5600,10325,6100,1924688333,1924688333,1464495353,212700,219200,"",0,0,0,NA,NA
"2",2,3028501,"2021-11-23T00:00:00","ABBA","Mahaka Media Tbk.","--U-2105000000E614-E-L--------",410,0,0,420,404,412,2,4311700,1764986000,801,722.8,414,113000,412,76200,2755125000,2755125000,2139630075,777300,631300,"",2.5e+07,9.55e+09,2,NA,NA
"3",3,3028502,"2021-11-23T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",6700,0,0,0,0,6700,0,0,0,0,1529.6,6650,700,0,0,620806680,620806680,504405428,0,0,"",0,0,0,NA,NA
"4",4,3028503,"2021-11-23T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",1415,0,0,1465,1410,1440,25,3907400,5597103000,851,38.4,1440,11400,1435,3600,2753165000,2753165000,2013114248,537300,475700,"",0,0,0,NA,NA
"5",5,3028504,"2021-11-23T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1S3EMN0000E743------------",1375,1375,1380,1405,1370,1400,25,14161000,19664307000,3344,1707.3,1405,705700,1400,1158000,1.715e+10,1.715e+10,14056140000,1833300,6870400,"",577303,802061002,4,NA,NA
"6",6,3028505,"2021-11-23T00:00:00","ACST","Acset Indonusa Tbk.","--U-1135000000J211------------",258,0,0,260,250,250,-8,11828900,2997036600,804,18.5,256,23000,250,4808400,12675160000,12675160000,9550733060,1669800,300100,"",0,0,0,NA,NA
"7",7,3028506,"2021-11-23T00:00:00","ADES","Akasha Wira International Tbk.","--U-2135000000D212------------",2840,0,0,2870,2780,2870,30,180300,507513000,250,149.1,2880,1200,2870,135700,589896800,589896800,427616190,0,37100,"",0,0,0,NA,NA
"8",8,3028507,"2021-11-23T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1835V50000J211------------",1140,0,0,1145,1125,1135,-5,14342900,16258114000,2439,891.4,1135,1129700,1130,259900,3560849376,3560849376,3016039421,721400,41400,"",0,0,0,NA,NA
"9",9,3028508,"2021-11-23T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",7850,0,0,7875,7825,7825,-25,165500,1297195000,220,336.6,7850,100,7825,3000,1e+09,1e+09,723800000,200,0,"",0,0,0,NA,NA
"10",10,3028509,"2021-11-23T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",220,0,0,228,212,216,-4,2003700,435195800,296,19.3,218,114000,216,86900,3889179559,3889179559,2878381792,39600,0,"",0,0,0,NA,NA
