,No,IDStockSummary,Date,StockCode,StockName,Remarks,Previous,OpenPrice,FirstTrade,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,DelistingDate,NonRegularVolume,NonRegularValue,NonRegularFrequency,persen,percentage
0,1,3153166,2022-07-19T00:00:00,AALI,Astra Agro Lestari Tbk.,--M-18APM16000D232------------,9400.0,0.0,0.0,9650.0,9425.0,9450.0,50.0,3131300.0,29801620000.0,3002.0,767.7,9475.0,1900.0,9450.0,67500.0,1924688333.0,1924688333.0,390711732.0,1476600.0,766600.0,,155100.0,1476396900.0,1.0,,
1,2,3153167,2022-07-19T00:00:00,ABBA,Mahaka Media Tbk.,--U-2100000000E614------------,230.0,0.0,0.0,234.0,222.0,232.0,2.0,31226200.0,7145325800.0,2966.0,512.5,232.0,442100.0,230.0,2060300.0,3935892857.0,3935892857.0,1342926643.0,458900.0,1757100.0,,0.0,0.0,0.0,,
2,3,3153168,2022-07-19T00:00:00,ABDA,Asuransi Bina Dana Arta Tbk.,--U-2105000000G412-----------X,6475.0,0.0,0.0,0.0,0.0,6475.0,0.0,0.0,0.0,0.0,1478.2,6475.0,1100.0,0.0,0.0,620806680.0,620806680.0,78594126.0,0.0,0.0,,0.0,0.0,0.0,,
3,4,3153169,2022-07-19T00:00:00,ABMM,ABM Investama Tbk.,--M-1175000000C311------------,2180.0,0.0,0.0,2270.0,2150.0,2230.0,50.0,3923700.0,8725265000.0,1192.0,59.5,2230.0,72600.0,2220.0,83300.0,2753165000.0,2753165000.0,568803889.0,347700.0,1204900.0,,0.0,0.0,0.0,,
4,5,3153170,2022-07-19T00:00:00,ACES,Ace Hardware Indonesia Tbk.,--M-187EMN0000E743------------,730.0,0.0,0.0,760.0,705.0,755.0,25.0,25275400.0,18871051500.0,2931.0,920.7,760.0,1260600.0,755.0,67600.0,17150000000.0,17150000000.0,6835990000.0,8049700.0,6656800.0,,0.0,0.0,0.0,,
5,6,3153171,2022-07-19T00:00:00,ACST,Acset Indonusa Tbk.,--U-1135000000J211------------,155.0,0.0,0.0,162.0,156.0,159.0,4.0,6413300.0,1023676600.0,653.0,11.7,160.0,96400.0,159.0,25500.0,12675160000.0,12675160000.0,2259981028.0,60000.0,0.0,,0.0,0.0,0.0,,
6,7,3153172,2022-07-19T00:00:00,ADCP,Adhi Commuter Properti Tbk.,XDU-1130000000H111------------,74.0,0.0,0.0,77.0,73.0,74.0,0.0,9368200.0,693336900.0,774.0,56.9,75.0,7343300.0,74.0,348900.0,22222222200.0,22222222200.0,2222222220.0,8800.0,0.0,,0.0,0.0,0.0,,
7,8,3153173,2022-07-19T00:00:00,ADES,Akasha Wira International Tbk.,--U-2135000000D212------------,6075.0,0.0,0.0,6200.0,6050.0,6125.0,50.0,47800.0,293415000.0,163.0,318.2,6150.0,1200.0,6125.0,3600.0,589896800.0,589896800.0,48961434.0,8700.0,1700.0,,0.0,0.0,0.0,,
8,9,3153174,2022-07-19T00:00:00,ADHI,Adhi Karya (Persero) Tbk.,--M-1835K50000J211------------,705.0,0.0,0.0,715.0,700.0,710.0,5.0,5255100.0,3725757500.0,1042.0,557.6,710.0,78000.0,705.0,2302300.0,3560849376.0,3560849376.0,1744816194.0,88700.0,69900.0,,200000.0,142000000.0,1.0,,
9,10,3153175,2022-07-19T00:00:00,ADMF,Adira Dinamika Multi Finance Tbk.,--U-111F200000G211------------,7950.0,0.0,0.0,7975.0,7900.0,7975.0,25.0,38500.0,305660000.0,84.0,343.0,7975.0,4000.0,7950.0,200.0,1000000000.0,1000000000.0,79100000.0,3400.0,0.0,,0.0,0.0,0.0,,
10,11,3153176,2022-07-19T00:00:00,ADMG,Polychem Indonesia Tbk,--U-1130000000B111------------,176.0,0.0,0.0,178.0,173.0,174.0,-2.0,2046400.0,357040600.0,348.0,15.5,176.0,5100.0,174.0,517600.0,3889179559.0,3889179559.0,520372225.0,0.0,0.0,,0.0,0.0,0.0,,
11,12,3153177,2022-07-19T00:00:00,ADMR,Adaro Minerals Indonesia Tbk.,--U-2105000000A121------------,1515.0,0.0,0.0,1690.0,1515.0,1680.0,165.0,164864500.0,267444192500.0,24268.0,1680.0,1680.0,655000.0,1675.0,145600.0,40882331500.0,40882331500.0,6606584770.0,10572000.0,24663900.0,,7904620.0,13038050760.0,19.0,,
12,13,3153178,2022-07-19T00:00:00,ADRO,Adaro Energy Indonesia Tbk.,--MO1XDAQ60000A121------------,2790.0,2800.0,2800.0,2960.0,2760.0,2950.0,160.0,127898100.0,369985618000.0,14763.0,268.2,2950.0,2875100.0,2940.0,36200.0,31985962000.0,31985962000.0,13981063990.0,8799000.0,52408300.0,,100.0,292850.0,6.0,,
13,14,3153179,2022-07-19T00:00:00,AGAR,Asia Sejahtera Mina Tbk.,--U-2130000000D231------------,302.0,0.0,0.0,302.0,284.0,300.0,-2.0,1500.0,448800.0,12.0,272.7,300.0,2900.0,284.0,100.0,1000000000.0,1000000000.0,250200000.0,0.0,0.0,,0.0,0.0,0.0,,
