,0,1,3
0,Current PE Ratio (Annualised),-4.81,PGJO
1,Current PE Ratio (TTM),-,PGJO
2,Forward PE Ratio,-,PGJO
3,IHSG PE Ratio TTM (Median),8.08,PGJO
4,Earnings Yield (TTM)(%),-,PGJO
5,Current Price to Sales (TTM),-,PGJO
6,Current Price to Book Value,2.95,PGJO
7,Current Price To Cashflow (TTM),0.03,PGJO
8,Current Price To Free Cashflow (TTM),0.03,PGJO
9,EV to EBIT (TTM),-,PGJO
10,PEG Ratio,-,PGJO
11,PEG Ratio (3yr),-,PGJO
12,PEG (Forward),-,PGJO
