,0,1,3
0,Current PE Ratio (Annualised),10.77,CSIS
1,Current PE Ratio (TTM),11.42,CSIS
2,Forward PE Ratio,-,CSIS
3,IHSG PE Ratio TTM (Median),8.47,CSIS
4,Earnings Yield (TTM)(%),8.76%,CSIS
5,Current Price to Sales (TTM),1.41,CSIS
6,Current Price to Book Value,0.69,CSIS
7,Current Price To Cashflow (TTM),0.03,CSIS
8,Current Price To Free Cashflow (TTM),2.94,CSIS
9,EV to EBIT (TTM),19.38,CSIS
10,PEG Ratio,0.05,CSIS
11,PEG Ratio (3yr),-0.37,CSIS
12,PEG (Forward),-,CSIS
