,0,1,3
0,Current PE Ratio (Annualised),23.81,IRRA
1,Current PE Ratio (TTM),18.05,IRRA
2,Forward PE Ratio,-,IRRA
3,IHSG PE Ratio TTM (Median),8.47,IRRA
4,Earnings Yield (TTM)(%),5.54%,IRRA
5,Current Price to Sales (TTM),1.49,IRRA
6,Current Price to Book Value,4.15,IRRA
7,Current Price To Cashflow (TTM),0.50,IRRA
8,Current Price To Free Cashflow (TTM),0.50,IRRA
9,EV to EBIT (TTM),14.40,IRRA
10,PEG Ratio,0.21,IRRA
11,PEG Ratio (3yr),-0.20,IRRA
12,PEG (Forward),-,IRRA
