,0,1,3
0,Current PE Ratio (Annualised),19.83,KBLM
1,Current PE Ratio (TTM),71.38,KBLM
2,Forward PE Ratio,-,KBLM
3,IHSG PE Ratio TTM (Median),8.47,KBLM
4,Earnings Yield (TTM)(%),1.40%,KBLM
5,Current Price to Sales (TTM),0.20,KBLM
6,Current Price to Book Value,0.24,KBLM
7,Current Price To Cashflow (TTM),0.10,KBLM
8,Current Price To Free Cashflow (TTM),0.10,KBLM
9,EV to EBIT (TTM),79.49,KBLM
10,PEG Ratio,-0.24,KBLM
11,PEG Ratio (3yr),-2.26,KBLM
12,PEG (Forward),-,KBLM
