,0,1,3
0,Current PE Ratio (Annualised),-5.86,BWPT
1,Current PE Ratio (TTM),33.93,BWPT
2,Forward PE Ratio,-,BWPT
3,IHSG PE Ratio TTM (Median),8.47,BWPT
4,Earnings Yield (TTM)(%),2.95%,BWPT
5,Current Price to Sales (TTM),0.57,BWPT
6,Current Price to Book Value,1.21,BWPT
7,Current Price To Cashflow (TTM),0.03,BWPT
8,Current Price To Free Cashflow (TTM),0.03,BWPT
9,EV to EBIT (TTM),18.08,BWPT
10,PEG Ratio,-1.14,BWPT
11,PEG Ratio (3yr),0.74,BWPT
12,PEG (Forward),-,BWPT
