,0,1,3
0,Current PE Ratio (Annualised),9.79,NICL
1,Current PE Ratio (TTM),15.57,NICL
2,Forward PE Ratio,-,NICL
3,IHSG PE Ratio TTM (Median),8.47,NICL
4,Earnings Yield (TTM)(%),6.42%,NICL
5,Current Price to Sales (TTM),1.78,NICL
6,Current Price to Book Value,2.60,NICL
7,Current Price To Cashflow (TTM),0.04,NICL
8,Current Price To Free Cashflow (TTM),0.04,NICL
9,EV to EBIT (TTM),10.88,NICL
10,PEG Ratio,1.13,NICL
11,PEG Ratio (3yr),-0.16,NICL
12,PEG (Forward),-,NICL
