,0,1,3
0,Current PE Ratio (Annualised),-7.06,PTDU
1,Current PE Ratio (TTM),20.35,PTDU
2,Forward PE Ratio,-,PTDU
3,IHSG PE Ratio TTM (Median),8.47,PTDU
4,Earnings Yield (TTM)(%),4.92%,PTDU
5,Current Price to Sales (TTM),0.42,PTDU
6,Current Price to Book Value,1.39,PTDU
7,Current Price To Cashflow (TTM),-3.20,PTDU
8,Current Price To Free Cashflow (TTM),-3.20,PTDU
9,EV to EBIT (TTM),8.38,PTDU
10,PEG Ratio,-1.07,PTDU
11,PEG Ratio (3yr),-,PTDU
12,PEG (Forward),-,PTDU
