,0,1,3
0,Current PE Ratio (Annualised),35.88,AVIA
1,Current PE Ratio (TTM),-,AVIA
2,Forward PE Ratio,-,AVIA
3,IHSG PE Ratio TTM (Median),-,AVIA
4,Earnings Yield (TTM)(%),-,AVIA
5,Current Price to Sales (TTM),-,AVIA
6,Current Price to Book Value,5.90,AVIA
7,Current Price To Cashflow (TTM),0.35,AVIA
8,Current Price To Free Cashflow (TTM),0.35,AVIA
9,EV to EBIT (TTM),-,AVIA
10,PEG Ratio,-,AVIA
11,PEG Ratio (3yr),-,AVIA
12,PEG (Forward),-,AVIA
