,0,1,3
0,Current PE Ratio (Annualised),22.49,SKLT
1,Current PE Ratio (TTM),15.56,SKLT
2,Forward PE Ratio,-,SKLT
3,IHSG PE Ratio TTM (Median),8.47,SKLT
4,Earnings Yield (TTM)(%),6.43%,SKLT
5,Current Price to Sales (TTM),0.97,SKLT
6,Current Price to Book Value,2.49,SKLT
7,Current Price To Cashflow (TTM),0.77,SKLT
8,Current Price To Free Cashflow (TTM),0.77,SKLT
9,EV to EBIT (TTM),14.73,SKLT
10,PEG Ratio,0.16,SKLT
11,PEG Ratio (3yr),0.41,SKLT
12,PEG (Forward),-,SKLT
