,0,1,3
0,Current PE Ratio (Annualised),20.89,SMGR
1,Current PE Ratio (TTM),20.14,SMGR
2,Forward PE Ratio,13.59,SMGR
3,IHSG PE Ratio TTM (Median),8.47,SMGR
4,Earnings Yield (TTM)(%),4.97%,SMGR
5,Current Price to Sales (TTM),1.19,SMGR
6,Current Price to Book Value,1.17,SMGR
7,Current Price To Cashflow (TTM),2.76,SMGR
8,Current Price To Free Cashflow (TTM),2.77,SMGR
9,EV to EBIT (TTM),12.21,SMGR
10,PEG Ratio,-0.73,SMGR
11,PEG Ratio (3yr),-1.54,SMGR
12,PEG (Forward),0.52,SMGR
