,0,1,3
0,Current PE Ratio (Annualised),43.58,MDIA
1,Current PE Ratio (TTM),7.05,MDIA
2,Forward PE Ratio,-,MDIA
3,IHSG PE Ratio TTM (Median),8.47,MDIA
4,Earnings Yield (TTM)(%),14.19%,MDIA
5,Current Price to Sales (TTM),1.44,MDIA
6,Current Price to Book Value,0.77,MDIA
7,Current Price To Cashflow (TTM),0.02,MDIA
8,Current Price To Free Cashflow (TTM),0.02,MDIA
9,EV to EBIT (TTM),11.21,MDIA
10,PEG Ratio,0.13,MDIA
11,PEG Ratio (3yr),-0.16,MDIA
12,PEG (Forward),-,MDIA
