,0,1,3
0,Current PE Ratio (Annualised),-1.23,LPPS
1,Current PE Ratio (TTM),-1.60,LPPS
2,Forward PE Ratio,-,LPPS
3,IHSG PE Ratio TTM (Median),8.47,LPPS
4,Earnings Yield (TTM)(%),-62.31%,LPPS
5,Current Price to Sales (TTM),1234.40,LPPS
6,Current Price to Book Value,0.21,LPPS
7,Current Price To Cashflow (TTM),0.04,LPPS
8,Current Price To Free Cashflow (TTM),0.04,LPPS
9,EV to EBIT (TTM),-130.55,LPPS
10,PEG Ratio,-,LPPS
11,PEG Ratio (3yr),-0.03,LPPS
12,PEG (Forward),-,LPPS
