,0,1,3
0,Current PE Ratio (Annualised),-9.31,LMPI
1,Current PE Ratio (TTM),-13.57,LMPI
2,Forward PE Ratio,-,LMPI
3,IHSG PE Ratio TTM (Median),8.47,LMPI
4,Earnings Yield (TTM)(%),-7.37%,LMPI
5,Current Price to Sales (TTM),0.29,LMPI
6,Current Price to Book Value,0.76,LMPI
7,Current Price To Cashflow (TTM),0.06,LMPI
8,Current Price To Free Cashflow (TTM),0.07,LMPI
9,EV to EBIT (TTM),27.82,LMPI
10,PEG Ratio,-0.21,LMPI
11,PEG Ratio (3yr),-,LMPI
12,PEG (Forward),-,LMPI
