,0,1,3
0,Current PE Ratio (Annualised),-0.76,KBLV
1,Current PE Ratio (TTM),-0.22,KBLV
2,Forward PE Ratio,-,KBLV
3,IHSG PE Ratio TTM (Median),8.47,KBLV
4,Earnings Yield (TTM)(%),-464.21%,KBLV
5,Current Price to Sales (TTM),2.54,KBLV
6,Current Price to Book Value,0.60,KBLV
7,Current Price To Cashflow (TTM),0.08,KBLV
8,Current Price To Free Cashflow (TTM),0.08,KBLV
9,EV to EBIT (TTM),0.93,KBLV
10,PEG Ratio,-,KBLV
11,PEG Ratio (3yr),-,KBLV
12,PEG (Forward),-,KBLV
