,0,1,3
0,Current PE Ratio (Annualised),18.25,TFCO
1,Current PE Ratio (TTM),18.52,TFCO
2,Forward PE Ratio,-,TFCO
3,IHSG PE Ratio TTM (Median),8.47,TFCO
4,Earnings Yield (TTM)(%),5.40%,TFCO
5,Current Price to Sales (TTM),1.04,TFCO
6,Current Price to Book Value,0.77,TFCO
7,Current Price To Cashflow (TTM),0.28,TFCO
8,Current Price To Free Cashflow (TTM),0.28,TFCO
9,EV to EBIT (TTM),14.20,TFCO
10,PEG Ratio,0.01,TFCO
11,PEG Ratio (3yr),0.09,TFCO
12,PEG (Forward),-,TFCO
