,0,1,3
0,Current PE Ratio (Annualised),-38.40,CTBN
1,Current PE Ratio (TTM),-7.69,CTBN
2,Forward PE Ratio,-,CTBN
3,IHSG PE Ratio TTM (Median),8.47,CTBN
4,Earnings Yield (TTM)(%),-13.01%,CTBN
5,Current Price to Sales (TTM),1.06,CTBN
6,Current Price to Book Value,1.28,CTBN
7,Current Price To Cashflow (TTM),0.82,CTBN
8,Current Price To Free Cashflow (TTM),0.82,CTBN
9,EV to EBIT (TTM),-11.84,CTBN
10,PEG Ratio,-,CTBN
11,PEG Ratio (3yr),-0.19,CTBN
12,PEG (Forward),-,CTBN
