,0,1,3
0,Current PE Ratio (Annualised),795.48,RISE
1,Current PE Ratio (TTM),146.47,RISE
2,Forward PE Ratio,-,RISE
3,IHSG PE Ratio TTM (Median),8.47,RISE
4,Earnings Yield (TTM)(%),0.68%,RISE
5,Current Price to Sales (TTM),34.18,RISE
6,Current Price to Book Value,4.61,RISE
7,Current Price To Cashflow (TTM),0.33,RISE
8,Current Price To Free Cashflow (TTM),0.33,RISE
9,EV to EBIT (TTM),145.89,RISE
10,PEG Ratio,0.50,RISE
11,PEG Ratio (3yr),-7.25,RISE
12,PEG (Forward),-,RISE
