,0,1,3
0,Current PE Ratio (Annualised),7.96,JPFA
1,Current PE Ratio (TTM),11.13,JPFA
2,Forward PE Ratio,8.12,JPFA
3,IHSG PE Ratio TTM (Median),8.47,JPFA
4,Earnings Yield (TTM)(%),8.99%,JPFA
5,Current Price to Sales (TTM),0.37,JPFA
6,Current Price to Book Value,1.41,JPFA
7,Current Price To Cashflow (TTM),0.59,JPFA
8,Current Price To Free Cashflow (TTM),0.60,JPFA
9,EV to EBIT (TTM),11.52,JPFA
10,PEG Ratio,0.09,JPFA
11,PEG Ratio (3yr),-4.86,JPFA
12,PEG (Forward),-1.54,JPFA
