,0,1,3
0,Current PE Ratio (Annualised),22.84,INPC
1,Current PE Ratio (TTM),-12.21,INPC
2,Forward PE Ratio,-,INPC
3,IHSG PE Ratio TTM (Median),8.47,INPC
4,Earnings Yield (TTM)(%),-8.19%,INPC
5,Current Price to Sales (TTM),1.29,INPC
6,Current Price to Book Value,0.46,INPC
7,Current Price To Cashflow (TTM),0.04,INPC
8,Current Price To Free Cashflow (TTM),0.04,INPC
9,EV to EBIT (TTM),-10.26,INPC
10,PEG Ratio,-,INPC
11,PEG Ratio (3yr),-0.35,INPC
12,PEG (Forward),-,INPC
